,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,ședinței Senatului din 21 noiembrie 2022,21, ,"(0.0, 11858.04)",0.0,11858.04
2,ședinței Senatului din 21 noiembrie 2022,21,S U M A R,65, ,"(0.0, 11858.04)",0.0,11858.04
3,S U M A R,65,S T E N O G R A M A,7480, unu mesajul unicef romania cu prilejul aniversarii a treizeci si trei de ani de la adoptarea cinci de catre adunarea generala a natiunilor unite a conventiei cu privire la drepturile copilului doi alocutiunea despre cultura nationala prezentata de grupul parlamentar al noua partidului national liberal trei aprobarea transmiterii catre camera deputatilor ca prima camera sesizata zece unsprezece a unei initiative legislative cincizeci si noua saizeci patru dezbaterea si adoptarea proiectului de lege privind aprobarea ordonantei de unsprezece saizeci urgenta a guvernului nr o suta patruzeci si unu doua mii douazeci si doi pentru completarea articolului treizeci si doi din ordonanta de urgenta a guvernului nr patruzeci doua mii cincisprezece privind gestionarea financiara a fondurilor europene pentru perioada de programare doua mii paisprezece doua mii douazeci din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1598.0, 11703.84)",1598.0,11703.84
4,S T E N O G R A M A,7480,ședinței Senatului din 21 noiembrie 2022,7501, ,"(0.0, 11858.04)",0.0,11858.04
5,ședinței Senatului din 21 noiembrie 2022,7501,Doamna Alina-Ștefania Gorghiu:,7809, sedinta a inceput la ora cincisprezece patru lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnii ion mocioalca si eugen pirvulescu inlocuit de domnul ion narcis mircescu secretari ai senatului ,"(2955.0, 2955.0)",2955.0,2955.0
6,Doamna Alina-Ștefania Gorghiu:,7809,Domnul Adrian Hatos:,9291, doamnelor si domnilor declar deschisa sedinta plenului senatului de astazi douazeci si unu noiembrie doua mii douazeci si doi sunt alina gorghiu voi conduce aceasta sedinta impreuna cu domnii senatori mocioalca si eugen pirvulescu in calitate de secretari ai senatului ordinea de zi pentru sedinta plenului de astazi si programul de lucru stabilite de biroul permanent al senatului si comitetul liderilor grupurilor parlamentare au fost distribuite si afisate pe pagina de internet a senatului potrivit art o suta treizeci si sapte coroborat cu prevederile art o suta treizeci si sase din regulamentul senatului conform hotararii biroului permanent adoptata cu acordul prealabil al comitetului liderilor sedinta plenului senatului se va desfasura prin mijloace electronice in conformitate cu prevederile art o suta unsprezece din regulamentul senatului in cadrul dezbaterilor generale se va lua cuvantul de cate un singur reprezentant al fiecarui grup parlamentar maximum doua minute iar reprezentantul senatorilor neafiliati poate interveni pentru maximum un minut asa cum ne am obisnuit in prima parte a sedintelor de plen vom desfasura dezbaterile asupra punctelor inscrise pe ordinea de zi dupa incheierea acestora in a doua parte se desfasoara sesiunea de vot final in conformitate cu hotararea liderilor grupurilor parlamentare il rog pe domnul senator hatos sa faca un anunt despre invitatii pe care ii are la balcon rog microfonul doi sa l deschidem ,"(4257.0, 4287.0)",4257.0,4287.0
7,Domnul Adrian Hatos:,9291,Doamna Alina-Ștefania Gorghiu:,9544, multumesc doamna presedinta de la cinci sute spre sase sute km au venit studenti de la universitatea din oradea in vizita la parlamentul romaniei de la resurse umane sociologie jurnalism va rog sa i aplaudati ,"(3558.0, 3965.0)",3558.0,3965.0
8,Doamna Alina-Ștefania Gorghiu:,9544,Domnul Ionuț Neagu:,9676, multumesc pe procedura inteleg ca domnul neagu doreste sa ia cuvantul va rog domnule senator ,"(3558.0, 9753.0)",3558.0,9753.0
9,Domnul Ionuț Neagu:,9676,Doamna Alina-Ștefania Gorghiu:,10152, multumesc doamna presedinta ca sa nu puteti trece aceasta declaratie la declaratiile politice sa nu va incredintez dumneavoastra votul pe procedura primarul municipiului sfantu gheorghe santajeaza comunitatea romaneasca din oras pentru acordarea unui aviz de amplasare a statuii poetului national mihai eminescu in oglinda cu un proiect deja aprobat cu statuia poetului maghiar petofi sandor acesta conditioneaza renuntarea la ,"(3558.0, 3965.0)",3558.0,3965.0
10,Doamna Alina-Ștefania Gorghiu:,10152,Domnul Ionuț Neagu:,10265, domnule senator chiar va rog sa faceti miercuri la declaratii politice asta ,"(10977.42, 10977.42)",10977.42,10977.42
