,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 28 februarie 2022,21, ,"(270.0, 5679.3)",270.0,5679.3
2,şedinţei Senatului din 28 februarie 2022,21,S U M A R,65, ,"(270.0, 5679.3)",270.0,5679.3
3,S U M A R,65,S T E N O G R A M A,1675, unu desemnarea unui membru supleant in consiliul de coordonare care functioneaza doi pe langa institutul national de administratie doi dezbaterea si adoptarea proiectului de lege privind desfiintarea sectiei pentru patru treisprezece investigarea infractiunilor din justitie din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata sapte apel nominal telefonic douazeci si unu opt adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la treizeci douazeci si trei douazeci si patru si douazeci si cinci februarie doua mii douazeci si doi a unor initiative legislative ,"(1627.7, 1994.7)",1627.7,1994.7
4,S T E N O G R A M A,1675,şedinţei Senatului din 28 februarie 2022,1696, ,"(270.0, 5679.3)",270.0,5679.3
5,şedinţei Senatului din 28 februarie 2022,1696,Domnul Robert-Marius Cazanciuc:,1960, sedinta a inceput la ora paisprezece treizeci si patru lucrarile sedintei au fost conduse de domnul robert marius cazanciuc vicepresedinte al senatului asistat de domnii eugen pirvulescu si ion narcis mircescu secretari ai senatului ,"(270.0, 5679.3)",270.0,5679.3
6,Domnul Robert-Marius Cazanciuc:,1960,Domnul Robert-Marius Cazanciuc:,1960,,"(270.0, 5679.3)",270.0,5679.3
7,Domnul Robert-Marius Cazanciuc:,1960,Domnul Radu-Mihai Mihail:,2779, stimati colegi in sala prezenti va rog sa semnati pentru a putea verifica cvorumul multumesc domnul robert marius cazanciuc stimati colegi va rog sa luati loc o zi grea astazi pentru toata lumea declar deschisa sedinta plenului de astazi douazeci si opt februarie doua mii douazeci si doi si va anunt ca din totalul de o suta treizeci si sase de senatori pana in prezent si au inregistrat prezenta un numar de saptezeci de colegi sedinta este condusa de vicepresedinte cazanciuc ajutat de domnii secretari pirvulescu si ion narcis mircescu ordinea de zi pentru aceasta sedinta si programul de lucru asa cum au fost stabilite de biroul permanent si comitetul liderilor au fost distribuite si afisate pe pagina de internet a senatului stimati colegi daca nu sunt interventii da va rog domnul radu mihail ,"(1039.36, 1063.36)",1039.36,1063.36
8,Domnul Radu-Mihai Mihail:,2779,Domnul Robert-Marius Cazanciuc:,3527, va multumesc domnule presedinte data fiind importanta primelor doua puncte de pe ordinea de zi unde discutam de un subiect major in ceea ce priveste independenta justitiei din romania si datorita faptului ca acest subiect a fost discutat pe repede inainte daca a fost discutat in senatul romaniei si pentru ca nu au fost facute transparente discutiile avute cu unul dintre organismele internationale de mare importanta in a aprecia avansul nostru pe acest subiect si anume comisia de la venetia la care reprezentantii opozitiei au fost impiedicati sa participe saptamana trecuta rugamintea noastra este sa supuneti la vot retrimiterea la comisie a punctelor unu si doi cu termen doua saptamani multumesc ,"(1065.36, 1101.36)",1065.36,1101.36
9,Domnul Robert-Marius Cazanciuc:,3527,Domnul Cătălin-Daniel Fenechiu:,3666, deci propuneti sa scoatem de pe ordinea de zi aceste puncte va rog domnule fenechiu va rog ,"(1060.36, 1119.36)",1060.36,1119.36
10,Domnul Cătălin-Daniel Fenechiu:,3666,Domnul Robert-Marius Cazanciuc:,3833, este dreptul liderului de la usr sa ceara trebuie sa stabilim doar cum votam cum votam ridicarea mainii cu cartela multumesc ,"(1133.36, 1136.36)",1133.36,1136.36
11,Domnul Robert-Marius Cazanciuc:,3833,Domnul Radu-Mihai Mihail:,3891, va rog domnule mihail ,"(1060.36, 1063.36)",1060.36,1063.36
12,Domnul Radu-Mihai Mihail:,3891,Domnul Robert-Marius Cazanciuc:,4055, propunerea este sa ridicam mana sus sa vedem exact cine e sensibil la problemele justitiei in romania sau nu multumesc ,"(1136.36, 4532.7)",1136.36,4532.7
