,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 12 decembrie 2022,21, ,"(0.0, 6828.0)"
2,şedinţei Senatului din 12 decembrie 2022,21,S U M A R,65, ,"(0.0, 6828.0)"
3,S U M A R,65,S T E N O G R A M A,6292, unu aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unei patru cinci initiative legislative douazeci si cinci douazeci si sase doi aprobarea solicitarii de retragere din procesul legislativ a unor initiative legislative cinci opt sute douazeci si sase trei dezbaterea si adoptarea proiectului de lege pentru aprobarea plafoanelor unor opt indicatori specificati in cadrul fiscal bugetar pe anul doua mii douazeci si trei din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1742.0, 2193.0)"
4,S T E N O G R A M A,6292,şedinţei Senatului din 12 decembrie 2022,6313, ,"(0.0, 6828.0)"
5,şedinţei Senatului din 12 decembrie 2022,6313,Doamna Alina-Ștefania Gorghiu:,6587, sedinta a inceput la ora cincisprezece cincisprezece lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnul ion mocioalca si domnul eugen pirvulescu secretari ai senatului ,"(0.0, 6828.0)"
6,Doamna Alina-Ștefania Gorghiu:,6587,Doamna Liliana Sbîrnea:,7176, doamnelor si domnilor senatori stimati colegi va rog sa mi permiteti sa declar deschisa sedinta plenului de astazi doisprezece decembrie doua mii douazeci si doi impreuna cu domnii secretari de sedinta domnul senator eugen pirvulescu si domnul senator ion mocioalca voi conduce aceasta sedinta daca nu mai tarziu atunci pe doamna liliana doamna senator liliana sbirnea o rog la microfonul trei sa faca un anunt pentru ca are niste invitati speciali in sala de plen ,"(1530.0, 1547.0)"
7,Doamna Liliana Sbîrnea:,7176,Doamna Alina-Ștefania Gorghiu:,7415, va multumesc frumos doamna presedinte de sedinta la balcon se afla un grup de invitati din localitatea berca judetul buzau si va rog frumos sa i primim cu aplauze sa le multumim pentru prezenta ,"(1575.0, 1585.0)"
8,Doamna Alina-Ștefania Gorghiu:,7415,Doamna Monica-Cristina Anisie:,7535, de asemenea o invit la microfonul doi pe doamna senator monica anisie sa faca un anunt ,"(1591.0, 1591.0)"
9,Doamna Monica-Cristina Anisie:,7535,Doamna Alina-Ștefania Gorghiu:,7883, va multumesc doamna presedinta stimati colegi in sala se afla si elevi din clasele a x a si a xi a elevi la unitatile de invatamant din sectorul doi care au participat la proiectul descoperirea abilitatilor vocationale primul pas catre succes sa i primim cu aplauze si sa le uram mult succes ,"(1598.0, 1625.0)"
10,Doamna Alina-Ștefania Gorghiu:,7883,Domnul Gheorghiță Mîndruță:,8029, multumesc doamna senator va multumesc pentru invitatii domnule senator mindruta aveti cuvantul ,"(2188.0, 2919.0)"
11,Domnul Gheorghiță Mîndruță:,8029,Doamna Alina-Ștefania Gorghiu:,8304, de asemenea pentru ca este sfarsit de an se pare ca este o perioada foarte aglomerata am si eu invitati un grup folcloric din judetul suceava ansamblul folcloric strajerii din comuna dolhesti judetul suceava va multumesc ,"(1638.0, 1648.0)"
12,Doamna Alina-Ștefania Gorghiu:,8304,Domnul Ștefan Pălărie:,11484, va urez tuturor un sfarsit de an bun sanatos si sa urmariti sedinta cu placere pe procedura doriti o sa va rog sa va inscrieti la cuvant stimati colegi pe tableta il invit pe domnul senator palarie sa ia cuvantul pe procedura ,"(1832.0, 1839.0)"
13,Domnul Ștefan Pălărie:,11484,Doamna Alina-Ștefania Gorghiu:,12246, multumesc foarte mult doamna presedinte de sedinta referitor la proiectul de ordine de zi pentru dezbaterile de plen de astazi va solicit suplimentarea ordinii de zi cu l669 doua mii douazeci si doi si o sa si explic de ce este vorba despre o initiativa legislativa foarte importanta care si propune sa ridice plafonul de impozitare a pensiilor romanilor pensii in plata de la doi zero de lei la trei zero de lei aceasta chestiune dezbatandu se in decembrie fiind si de o chestiune fiind si de o importanta foarte mare pentru ca afecteaza viata unor milioane de pensionari va propunem sa nu o lasam sa treaca tacit pe paisprezece decembrie ci sa se bucure de dezbaterea parlamentara si a camerei senatului va multumesc ,"(1851.0, 1903.0)"
14,Doamna Alina-Ștefania Gorghiu:,12246,Domnul Ștefan-Radu Oprea:,12478, multumesc pentru propunere consult liderii dar eu stiu ca doar o comisie a dat raport nu munca stiu ca nu are raport ci e pe coraport dar va rog sa faceti precizarile domnule senator oprea ,"(1903.0, 1912.0)"
15,Domnul Ștefan-Radu Oprea:,12478,Doamna Alina-Ștefania Gorghiu:,12670, multumesc doamna presedinta aceasta initiativa legislativa nu are raport asa ca nu o putem supune la vot conform cutumei pe care o avem in senat multumesc ,"(1916.0, 1926.0)"
16,Doamna Alina-Ștefania Gorghiu:,12670,Domnul Ștefan Pălărie:,12751, in regula domnule palarie va rog ,"(1929.0, 3206.0)"
17,Domnul Ștefan Pălărie:,12751,Doamna Alina-Ștefania Gorghiu:,13569, l am ascultat impreuna pe domnul lider care spune conform cutumei nu se poate supune la vot noi discutam acum deci procedural nu exista ceva care sa interzica dezbaterea in plen plenul este suveran pentru ca e o chestiune importanta si chiar m am bucurat sa vad ca din partea bugetului deci pe zona care implica responsabilitatea financiara comisia de buget a dat un raport de admitere nu a fost trecuta timp de trei saptamani pe ordinea de zi cu vot la comisia de munca din care fac si eu parte e necesara si este utila sa existe o astfel de dezbatere tema este cat se poate de buna sunt pensiile in joc dupa cum spuneam a catorva milioane de cetateni e o chestiune extrem de importanta pare sa fie lipsita de seriozitate trecerea tacita a acestei initiative ,"(1934.0, 1974.0)"
18,Doamna Alina-Ștefania Gorghiu:,13569,Domnul Ștefan Pălărie:,13918, stimati colegi am inteles propunerea dumneavoastra o sa rog liderii de grup pentru urmatorul minut sa faca o discutie cu privire la aceasta initiativa sa vedem daca exista sau nu raport daca nu vom supune n avem raport este bun neavand raport nu putem sa dezbatem acest proiect astazi la ,"(1980.0, 1991.0)"
19,Domnul Ștefan Pălărie:,13918,Doamna Alina-Ștefania Gorghiu:,14362, doamna presedinte atunci in aceste conditii va solicit prelungirea termenului pentru acordarea raportului depasirea termenului de patruzeci si cinci de zile pentru acordarea acestui raport important din comisie mixta putem prelungi cu doua saptamani si atunci vom putea avea pana la trecerea tacita si un raport din cadrul din partea comisiei de munca inteleg exact singurul lucru care lipseste inainte de plen ,"(2006.0, 2025.0)"
20,Doamna Alina-Ștefania Gorghiu:,14362,Domnul Ambrozie-Irineu Darău:,15117, multumesc voi supune propunerea dumneavoastra votului plenului o sa va rog in urmatorul minut sa v anuntati colegii de grup ca vom da un vot pe aceasta propunere facuta de colegul de la din partea grupului usr da cu saizeci si doi de voturi cu treizeci si unu scuzati ma pentru propunere saizeci si doi impotriva doua abtineri propunerea a fost respinsa inainte de a trece la ordinea de zi il invit pe domnul senator darau sa faca de asemenea un anunt ,"(2027.0, 2036.0)"
21,Domnul Ambrozie-Irineu Darău:,15117,Doamna Alina-Ștefania Gorghiu:,15741, multumesc doamna presedinta eu si colegul meu deputat andrei miftode am invitat in parlamentul romaniei astazi un grup de elevi si profesori de la liceul special pentru deficiente de vedere din buzau acum sunt in loja aici sper ca prezenta lor si interesul lor pentru activitatea parlamentara sa ne sensibilizeze pe toti cu privire la problemele pe care aceste persoane le au si de progresul pe care ar trebui sa l facem pe teren in tara in scoli si in orasele noastre astfel si in comunele noastre astfel incat sa poata sa aiba o viata mai usoara va multumesc ,"(2146.0, 2188.0)"
22,Doamna Alina-Ștefania Gorghiu:,15741,Doamna Gabriela Creţu:,17582, multumesc domnule senator asa cum va spuneam la punctul unu al ordinii de zi avem proiectul de lege pentru aprobarea plafoanelor unor indicatori specificati in cadrul fiscal bugetar pe anul doua mii douazeci si trei raportul comisiei pentru buget este de admitere a proiectului de lege pentru aprobarea ordonantei proiectul face parte din categoria legilor ordinare senatul este camera decizionala doamna senator cretu va rog aveti cuvantul ,"(2188.0, 2193.0)"
23,Doamna Gabriela Creţu:,17582,Doamna Alina-Ștefania Gorghiu:,18745, multumesc doamna presedinta stimati colegi programul investeu este continuatorul planului juncker l am discutat cu mare atentie grupul psd e de acord cu contributia si comisia de afaceri europene in care am avut discutia este de acord doar ca platim provizioane si constituim garantii pentru un program pentru care n avem pregatite proiecte in planul juncker s a reusit pana la urma mobilizarea a peste patru sute de milioane de de miliarde de euro ma iertati din care romania a luat foarte putin cele mai de succes tari n au fost cele mai mari cum ne am fi putut astepta au fost tari precum bulgaria portugalia letonia or ceea ce am sugerat si am solicitat guvernului in comisia de afaceri europene este ca sa facem o analiza pe deficientele pe care le am avut in utilizarea planului juncker pentru a nu repeta acest lucru si in investeu pentru ca e acelasi sistem care functioneaza de aceea am vrut sa spun am si scris guvernului dar am vrut sa spun de la tribuna ca trebuie sa facem o analiza foarte serioasa altfel vom cheltui bani de care nu vom beneficia multumesc foarte mult ,"(2306.0, 2388.0)"
24,Doamna Alina-Ștefania Gorghiu:,18745,Doamna Laura-Mihaela Moagher:,18943, va multumesc doamna senator punctul trei dupa ce doamna moagher vreti sa faceti anuntul acum va rog de la microfonul central si constat ca s au mai inscris ,"(2188.0, 2927.0)"
25,Doamna Laura-Mihaela Moagher:,18943,Doamna Alina-Ștefania Gorghiu:,19019, va multumesc doamna presedinte ,"(2883.0, 2885.0)"
26,Doamna Alina-Ștefania Gorghiu:,19019,Doamna Laura-Mihaela Moagher:,19060, va rog ,"(1530.0, 6669.0)"
27,Doamna Laura-Mihaela Moagher:,19060,Doamna Alina-Ștefania Gorghiu:,19404, as dori sa salut grupul de doamne din ploiesti condus de doamna marilena stanciu la invitatia mea si a domnului senator radu oprea astazi cand este o zi atat de importanta in cele doua camere reunite ale parlamentului privind declaratia egalitatii de sanse in romania va multumesc doamnelor ,"(2407.0, 2422.0)"
28,Doamna Alina-Ștefania Gorghiu:,19404,Doamna Diana Iovanovici-Șoșoacă:,19612, va multumesc doamna senator multumesc doamnelor pentru prezenta s a inscris la cuvant la punctul trei da doamna senator sosoaca va rog aveti cuvantul microfonul trei ,"(2188.0, 2927.0)"
29,Doamna Diana Iovanovici-Șoșoacă:,19612,Doamna Alina-Ștefania Gorghiu:,21148, multumesc frumos eu stiam ca toti politicienii au vociferat pentru ca nu ni s a acordat accesul in schengen dupa ce am cedat suveranitatea da prin tot felul de legi inepte ale justitiei ati votat impotriva constitutiei romaniei ati adoptat pe banda rulanta tot ceea ce vi s a solicitat legea offshore ati dat toate gazele din marea neagra ati dat tot titeiul si acum ce facem noi participam la fondul uniunii europene in timp ce uniunea europeana isi bate joc de romania si de romani iar noi nu putem sa luam atitudine niciodata ce ar fi daca parlamentul pentru prima data dupa aderarea la uniunea europeana fata de tratamentul incalificabil al uniunii europene ca nu i vorba numai de olanda si austria toti acesti oameni toti in uniunea europeana cand au chef sa se voteze se voteaza la unison dar romanii nu sunt reprezentati de persoane demne nu avem reprezentare diplomatica nu avem competenti si culti ca sa ne reprezinte si nu exista patriotism si nationalism la persoanele care ne reprezinta dupa ce suntem bataia de joc a uniunii europene acum veniti sa le mai dam si bani nu o atitudine normala a parlamentului romaniei este sa nu mai contribuie pana cand romanii nu sunt respectati dupa adevarata valoare a lor schengen nu e o favoare e un drept pe care trebuia sa l avem de cand am intrat in uniunea europeana n avem nevoie nici de schengen nici de uniunea europeana avem nevoie de romania nationalista si patriota multumesc ,"(2445.0, 2558.0)"
30,Doamna Alina-Ștefania Gorghiu:,21148,Domnul Claudiu-Richard Târziu:,22339, punctul trei va ramane la vot final la punctul patru al ordinii de zi avem propunerea legislativa privind accesul titularilor permisului de conducere la istoricul sanctiunilor privind regimul circulatiei pe drumurile publice raportul comisiei pentru energie este de respingere a initiativei legislative propunerea face parte din categoria legilor ordinare senatul este prima camera sesizata la cuvant din partea grupului aur s a inscris domnul senator claudiu tarziu aveti cuvantul ,"(3510.0, 3517.0)"
31,Domnul Claudiu-Richard Târziu:,22339,Doamna Alina-Ștefania Gorghiu:,24682, multumesc vorbim prea des si de la acest pupitru si de la cel al camerei deputatilor si in conferintele de presa ale guvernului despre necesitatea de a deveni romania independenta din punct de vedere energetic despre nevoia stringenta de a reduce preturile la productia de energie si implicit preturile care ajung la consumatorul final si de asemenea ca avem nevoie de o dezvoltare durabila a economiei toate acestea sunt vorbe in vant atata vreme cat nu facem ceva pentru a atinge aceste deziderate iar printre lucrurile pe care trebuie sa le facem poate ca primul in aceasta situatie in situatia de fata in contextul nou creat dupa asa numita liberalizare a pietei de energie este cel de a face o reforma in domeniul energiei in acest sens grupul aur a propus sa ca doua societati mari de stat hidroelectrica si respectiv complexul energetic oltenia cel mai mare producator de energie pe baza de apa si poate ca cel mai mare producator de energie pe baza de carbune de lignit sa fuzioneze astfel incat pretul rezultat al energiei provenite din cele doua tipuri de productii sa fie unul permisiv pentru romani sa fie unul adaptat la piata din romania si la nevoile romanilor si sa stopeze speculatiile de pe piata de asemenea fuzionarea celor doua companii ar putea sa dea cum sa zic pe piata un exemplu sa creeze niste standarde pentru toti ceilalti producatori care ar veni pe domeniile respective prin aceasta propunere noi sustinem ca piata de energie va avea de castigat ca romanii vor avea de castigat ca si statul roman va avea de castigat in aceste conditii este de mare mirare raportul de respingere al initiativei noastre care nu e motivat in niciun fel nu raspunde la niciuna dintre problemele ridicate in motivarea pe care am formulat o pentru sustinerea acestei initiative legislative nu raspunde de asemenea la niciuna dintre problemele pe care piata a pus o in legatura cu preturile la energie si in general nu raspunde in niciun fel interesului nostru general va rog asadar ca in plen sa mai cugetati o data si sa dati un vot de constiinta va fac aceasta rugaminte asa cum v am facut o si alta data in speranta ca intr un final veti auzi si veti raspunde favorabil va multumesc ,"(2635.0, 2868.0)"
32,Doamna Alina-Ștefania Gorghiu:,24682,Domnul Sorin-Ioan Bumb:,24862, din partea grupului pnl il invit la cuvant pe domnul senator bumb sorin microfonul doi domnule sapunaru o sa va rog sa permiteti vorbitorului ,"(2870.0, 2875.0)"
33,Domnul Sorin-Ioan Bumb:,24862,Doamna Alina-Ștefania Gorghiu:,24906, domnule sapunaru ,"(0.0, 6828.0)"
34,Doamna Alina-Ștefania Gorghiu:,24906,Domnul Sorin-Ioan Bumb:,25012, domnule secretar de stat sapunaru ma adresez dumneavoastra multumesc ,"(2188.0, 2919.0)"
35,Domnul Sorin-Ioan Bumb:,25012,Doamna Alina-Ștefania Gorghiu:,25536, multumesc doamna presedinte stimati colegi o sa i dau colegului nostru raspunsul cele doua firme mari nu pot fuziona pentru ca ar incalca o directiva a uniunii europene cea legata de producerea transportul si furnizarea energiei electrice nu pot sa fie in acelasi concern toate firmele si am pierde banii care sunt acordati prin pnrr pentru energia verde pentru producerea de energie regenerabila pentru toate proiectele care vor fi finantate in urmatorii ani multumesc ,"(2883.0, 2916.0)"
36,Doamna Alina-Ștefania Gorghiu:,25536,Doamna Diana Iovanovici-Șoșoacă:,25701, multumesc domnule senator din partea grupului de neafiliati doamna senator sosoaca doreste sa ia cuvantul va rog ,"(2916.0, 2927.0)"
37,Doamna Diana Iovanovici-Șoșoacă:,25701,Doamna Alina-Ștefania Gorghiu:,29266, multumesc nici nu ma asteptam la altceva decat sa invocati tot felul de directive ale uniunii europene de parca noi suntem sclavi pe plantatie avem un parlament inexistent si nu mai trebuie sa mai facem noi nimic ca voteaza europenii pentru noi cu tot respectul cred ca ar trebui sa stiti un lucru hidroelectrica in acest moment este obligata de catre ministerul energiei si unii politicieni deputati si senatori sa lucreze cu cateva societati straine de consultanta mai exact americane si austriece acestea racoleaza clientii mari din romania carora le promit ca i duc direct la hidroelectrica unde vor primi un pret preferential de sapte sute cincizeci de ron mw astazi pretul unui mw spot bursa de energie este intre unu sase sute saizeci si doi zero de ron mw asta inseamna ca se acorda un discount de aproximativ cincizeci si cinci saizeci din pretul pietei cum este posibil in cursul lunii noiembrie pretul mediu al unui megawatt a fost de unu saptezeci de ron o mare parte din discount ajunge la firma de consultanta iar o alta parte ajunge la politicieni respectiv partidele politice importante aflate la guvernare implicati sunt cei din conducere am numele lor si am si actele pe care le au facut am filmari si am inregistrari pe care le am depus la parchetul general ca sa stiti de ce nu vreti sa uniti aceste doua entitati da societatea de producere a energiei electrice in hidrocentrale hidroelectrica iar unul dintre directorii de acolo a facut parte din anturajul lui calin popescu tariceanu si a fost ministru al economiei in guvernele ponta deci firma americana racoleaza clientii mari de pe piata romaneasca promitandu le un pret mult sub bursa care in baza unui comision accepta sa intre in joc statul roman accepta sa favorizeze societatea americana care este locomotiva clientilor adusi la hidroelectrica care oricum are un adaos enorm la energie fata de costul de productie respectiv sase sute societatile romanesti de furnizare a energiei sunt blocate si nu au acces la pretul preferential al hidroelectrica si nici nu li se deconteaza compensarile pe care i le a oferit clientilor prin ordonantele de anul acesta trei douazeci si sapte o suta optsprezece o suta nouasprezece o suta cincizeci si trei doua mii douazeci si doi sa trec si la romgaz data viitoare iar acum este cu schengen in fapt n avem nevoie nici de ue nici de schengen nici de directivele lor avem nevoie sa fim independenti iar guvernul se preface ca ia masuri impotriva austriei prin retragerea ambasadorului roman de la viena sau alte actiuni infantile si penibile care sa deturneze de la adevaratele activitati din spatele cortinei ,"(2927.0, 3091.0)"
38,Doamna Alina-Ștefania Gorghiu:,29266,Doamna Diana Iovanovici-Șoșoacă:,29321, va rog sa conchideti ,"(2926.0, 3206.0)"
39,Doamna Diana Iovanovici-Șoșoacă:,29321,Doamna Alina-Ștefania Gorghiu:,29609, conchid in calitate de senator al romaniei va spun ca deja am demarat demersurile legale pentru a bloca atat distrugerea hidroelectrica cat si romgaz si am depus toate dovezile de care inteleg sa ma folosesc la parchetul general va multumesc ,"(3178.0, 3197.0)"
40,Doamna Alina-Ștefania Gorghiu:,29609,Domnul Sorin-Ioan Bumb:,29772, domnule bumb doriti sa mai luati cuvantul in replica va rog ,"(3201.0, 3206.0)"
41,Domnul Sorin-Ioan Bumb:,29772,Doamna Alina-Ștefania Gorghiu:,30244, multumesc doamna presedinte pentru a clarifica cele spuse normal ca un articol de ziar poate sa spuna multe lucruri ,"(2883.0, 2885.0)"
42,Doamna Alina-Ștefania Gorghiu:,30244,Domnul Antal István-Loránt:,30764, punctul cinci ramane la vot final o sa va rog sa incercati sa vorbiti la microfon sa nu mai dialogati cu sala s avem si noi un pic de bun simt in sala asta ma gandesc macar cand avem oaspeti la punctul sase proiectul de lege privind aprobarea ordonantei de urgenta a guvernului nr o suta cincizeci si opt doua mii douazeci si doi pentru completarea ordonantei guvernului nr treizeci si sase doua mii sase in regula domnule presedinte se poate va rog microfonul doi aveti cuvantul la punctul anterior ,"(3239.0, 3266.0)"
43,Domnul Antal István-Loránt:,30764,Doamna Alina-Ștefania Gorghiu:,30812, la punctul cinci da ,"(2428.0, 6106.0)"
44,Doamna Alina-Ștefania Gorghiu:,30812,Domnul Antal István-Loránt:,30928, domnul presedinte lorant antal doreste sa ia cuvantul din partea grupului udmr ,"(3273.0, 3273.0)"
