,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 16 mai 2022,21, ,"(240.0, 8533.0)"
2,şedinţei Senatului din 16 mai 2022,21,S U M A R,61, ,"(240.0, 8533.0)"
3,S U M A R,61,S T E N O G R A M A,5569, unu moment de reculegere in memoria lui serban valeca si a lui ioan cretu fosti patru cinci senatori ai romaniei cincizeci doi informare privind componenta nominala a biroului de conducere al unei comisii cinci permanente a senatului trei propunerea legislativa pentru completarea legii educatiei nationale nr unu doua mii unsprezece cinci din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(240.0, 8533.0)"
4,S T E N O G R A M A,5569,şedinţei Senatului din 16 mai 2022,5590, ,"(240.0, 8533.0)"
5,şedinţei Senatului din 16 mai 2022,5590,Domnul Florin-Vasile Cîțu:,5844, sedinta a inceput la ora cincisprezece cincisprezece lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnul eugen pirvulescu si domnul ion narcis mircescu secretari ai senatului ,"(240.0, 8533.0)"
6,Domnul Florin-Vasile Cîțu:,5844,Domnul Ovidiu Puiu:,6709, buna ziua va rog sa luati loc sa incepem sedinta de astazi declar deschisa sedinta plenului senatului de astazi saisprezece mai doua mii douazeci si doi va anunt ca din totalul de o suta treizeci si cinci de senatori pana in acest moment si au inregistrat prezenta un numar de saizeci si noua de senatori as vrea sa va anunt ca la primele doua loje avem un grup de studenti de la facultatea de drept universitatea bucuresti invitati ai domnului robert cazanciuc bine ati venit in parlamentul romaniei sedinta de azi este condusa de subsemnatul presedinte al senatului asistat de domnul senator eugen pirvulescu si domnul senator ion narcis mircescu secretari ai senatului pe procedura avem cateva interventii in primul rand aici va multumesc ,"(1380.0, 1438.0)"
7,Domnul Ovidiu Puiu:,6709,Domnul Florin-Vasile Cîțu:,7257, domnule presedinte dragi colegi cu respect va rog sa imi permiteti sa va solicit un moment de reculegere duminica cincisprezece mai ne a parasit profesorul universitar cercetatorul parlamentarul ministrul serban valeca a reprezentat cu demnitate si profesionalism judetul arges in parlamentul si in guvernul romaniei a facut din patriotism un motto personal a fost un coleg extraordinar un prieten adevarat un mare om dumnezeu sa l odihneasca in pace multumim ,"(1476.0, 1514.0)"
8,Domnul Florin-Vasile Cîțu:,7257,Domnul Sorin Lavric:,7389, multumesc domnul lavric interventie pe procedura da si apoi domnul tot pe procedura imediat ,"(3660.0, 4763.0)"
9,Domnul Sorin Lavric:,7389,Domnul Florin-Vasile Cîțu:,8002, multumesc domnule presedinte citu va propun modificarea ordinii de zi si anume l194 doua mii douazeci si doi de la pozitia saisprezece va rog sa il retrimitem la comisii pentru ca avem de a face cu un paradox proiectul a primit aviz pozitiv si de la consiliul legislativ si de la comisia pentru sanatate si de la consiliul economic si social si totusi comisia de munca a dat raport de respingere de aceea va propun prin vot sa aprobam sau sa respingem retrimiterea la comisie inca o data l194 doua mii douazeci si doi pozitia saisprezece e vorba de statutul asistentilor maternali profesionisti va multumesc ,"(1525.0, 1575.0)"
10,Domnul Florin-Vasile Cîțu:,8002,Domnul Cătălin-Daniel Fenechiu:,8573, va multumesc vreti sa supunem la vot acum modificarea ordinii de zi da bine atunci va rog sa va introduceti cartelele sa va pregatiti de vot va supun la vot propunerea domnului senator lavric de retrimitere la comisie a punctului saisprezece pentru ce perioada domnule senator o saptamana doua pentru doua saptamani va rog sa votati cu treisprezece voturi pentru douazeci si opt impotriva si paisprezece abtineri propunerea dumneavoastra nu a trecut a fost respinsa mergem mai departe domnul daniel fenechiu liderul pnl pentru interventii pe procedura ,"(1575.0, 1616.0)"
