,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 7 iunie 2022,21, ,"(30.0, 6802.0)",30.0,6802.0
2,şedinţei Senatului din 7 iunie 2022,21,S U M A R,60, ,"(30.0, 6802.0)",30.0,6802.0
3,S U M A R,60,S T E N O G R A M A,5093, unu aprobarea ordinii de zi si a programului de lucru patru cinci douazeci si trei doi adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la doi si trei cinci iunie doua mii douazeci si doi a unor initiative legislative trei dezbaterea si adoptarea proiectului de hotarare pentru modificarea art opt din cinci hotararea senatului nr douazeci si sase doua mii douazeci si doi privind investigarea cazurilor de abuzuri sexuale sau a oricaror abuzuri fizice impotriva minorilor din serviciile de tip rezidential aflate in subordinea directiilor generale de asistenta sociala si protectie a copilului din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(851.0, 6792.0)",851.0,6792.0
4,S T E N O G R A M A,5093,ședinței Senatului din 7 iunie 2022,5114, ,"(30.0, 6802.0)",30.0,6802.0
5,ședinței Senatului din 7 iunie 2022,5114,Doamna Alina-Ștefania Gorghiu:,5379, sedinta a inceput la ora cincisprezece cinci lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnii ion mocioalca si ion narcis mircescu secretari ai senatului ,"(30.0, 6802.0)",30.0,6802.0
6,Doamna Alina-Ștefania Gorghiu:,5379,Domnul György Attila – secretar de stat la Ministerul Finanțelor:,9241, stimati colegi o sa va rog sa luati loc in banci si sa introduceti cartelele ca sa putem sa verificam daca avem cvorum de incepere a sedintei multumesc declar deschise dezbaterile generale asupra acestui proiect invit din partea ministerului finantelor pe domnul secretar de stat attila gyorgy pentru sustinerea punctului de vedere microfon opt staff tehnic va rog multumesc ,"(981.0, 998.0)",981.0,998.0
7,Domnul György Attila – secretar de stat la Ministerul Finanțelor:,9241,Doamna Alina-Ștefania Gorghiu:,9725, multumesc doamna presedinta de sedinta prin ordonanta de urgenta nr saizeci si doi doua mii douazeci si doi s au implementat o serie de solutii privind disfunctionalitatile identificate in ceea ce priveste politele de asigurare emise de societati impotriva carora au fost pronuntate hotarari de deschidere a procedurii de faliment va rugam sa fiti de acord cu raportul de admitere pregatit de comisia de specialitate multumesc ,"(1001.0, 1025.0)",1001.0,1025.0
8,Doamna Alina-Ștefania Gorghiu:,9725,Doamna Laura-Iuliana Scântei:,10021, va multumesc din partea comisiilor raportoare care sunt comisia economica industrii si servicii comisia juridica de numiri disciplina imunitati si validari care au elaborat raport comun o invit pe doamna presedinta iulia scantei sa prezinte raportul ,"(1023.0, 1039.0)",1023.0,1039.0
9,Doamna Laura-Iuliana Scântei:,10021,Doamna Alina-Ștefania Gorghiu:,10741, va multumesc doamna presedinta comisia economica industrii si servicii precum si comisia juridica de numiri disciplina imunitati si validari din senat au fost sesizate de biroul permanent pentru intocmirea raportului comun asupra legii de adoptare proiectul de lege pentru aprobarea ordonantei de urgenta nr saizeci si doi am analizat textul ordonantei de urgenta de asemenea avizele favorabile primite de la consiliul legislativ precum si de la comisia coavizatoare comisia pentru buget finante si cu unanimitate de voturi cele doua comisii raportoare au adoptat un raport comun de admitere fara amendamente pe care il supunem votului plenului senatului va multumesc ,"(1039.0, 1079.0)",1039.0,1079.0
10,Doamna Alina-Ștefania Gorghiu:,10741,Doamna Hegedüs Csilla – secretar de stat la Ministerul Investițiilor și Proiectelor Europene:,11839, multumesc doamna presedinta scantei va rog din partea grupurilor parlamentare daca exista interventii acest proiect va ramane la vot final dati mi voie sa anunt prezenta la balconul salii de plen a unui grup de studenti de la facultatea de comunicare inteleg invitati de domnul senator remus negoi ii felicitam le uram o sedinta o audiere placuta a plenului de astazi succes dragii mei declar deschise dezbaterile generale asupra proiectului de lege dau cuvantul doamnei secretar de stat hegedus din partea mipe pentru prezentarea succinta a proiectului de lege va rog microfonul noua tehnicul ,"(1140.0, 1151.0)",1140.0,1151.0
11,Doamna Hegedüs Csilla – secretar de stat la Ministerul Investițiilor și Proiectelor Europene:,11839,Doamna Alina-Ștefania Gorghiu:,12817, buna ziua prezenta ordonanta de urgenta are drept scop instituirea unor masuri temporare denumite sprijin pentru romania pana la data de treizeci si unu decembrie doua mii douazeci si doi pentru sprijinul material al unor categorii de populatie vulnerabila bugetul masurii temporare sprijin pentru romania acordata prin intermediul tichetelor sociale pe suport electronic pentru perioada unu iunie treizeci si unu decembrie doua mii douazeci si doi este de trei unu miliarde de lei cu surse de finantare de la bugetul de stat prin bugetul ministerului investitiilor si proiectelor europene precum si din fondurile europene nerambursabile din cadrul poad doua mii paisprezece doua mii douazeci incepand cu unu iunie mipe a inceput procesul de emitere distribuire si incarcare a voucherelor sociale oferite prin programul guvernamental sprijin pentru romania rugam frumos aprobarea oug ului in forma adoptata de guvernul romaniei multumesc ,"(1155.0, 1209.0)",1155.0,1209.0
12,Doamna Alina-Ștefania Gorghiu:,12817,Domnul Nicolae Neagu:,13241, multumesc doamna secretar de stat pentru prezentare din partea comisiilor raportoare avem comisia pentru buget finante activitate bancara piata de capital si comisia pentru munca familie si protectie sociala care au elaborat un raport comun il invit pe domnul presedinte nicu neagu din partea comisiei de buget finante sa prezinte acest raport domnule presedinte va rog ,"(1209.0, 1228.0)",1209.0,1228.0
13,Domnul Nicolae Neagu:,13241,Doamna Alina-Ștefania Gorghiu:,13629, multumesc doamna presedinta in urma dezbaterilor care s au desfasurat in sedinte separate membrii celor doua comisii au hotarat cu majoritate de voturi sa adopte un raport comun de admitere fara amendamente in raport cu obiectul de reglementare proiectul de lege face parte din categoria legilor ordinare senatul este prima camera sesizata ,"(1230.0, 1252.0)",1230.0,1252.0
14,Doamna Alina-Ștefania Gorghiu:,13629,Domnul Claudiu-Marinel Mureșan:,13915, va multumesc din partea grupurilor parlamentare inscrieri la cuvant o sa mi dati voie mie atunci sa cobor la microfon daca nu exista din partea celorlalte grupuri exista domnule muresan va invit pe dumneavoastra atunci va dau prioritate ,"(1252.0, 1265.0)",1252.0,1265.0
15,Domnul Claudiu-Marinel Mureșan:,13915,Doamna Alina-Ștefania Gorghiu:,17087, va multumesc foarte mult doamna presedinte doamnelor si domnilor senatori guvernul ne propune sa votam astazi un proiect de lege care presupune acordarea de tichete sociale in valoare de doua sute cincizeci de lei o valoare care va fi transferata o data la doua luni catre beneficiarii nominalizati dupa anumite criterii prin aceasta masura guvernul spera sa scoata romania din saracie nu vreau sa intru in foarte multe detalii dar as vrea totusi sa punctez cateva lucruri care din punctul meu de vedere sunt importante in primul rand trebuie sa spunem ca legea aceasta este una incorecta si spun asta pentru ca prin aceste masuri nu faceti altceva decat sa dati inapoi romanilor o prea mica parte din banii pe care ii luati prin taxe de tot felul pe care le aplicati noilor preturi la utilitati la alimente si la combustibili si sa nu spuneti ca nu este asa pentru ca chiar domnul ministru caciu a mentionat ca exista o parte importanta de venituri o crestere importanta a incasarilor la bugetul de stat stim si noi evident de unde vin aceste masuri noi vom vota pentru acest proiect asta i clar pentru ca stim ca romanii au nevoie disperata de sprijin dar cu siguranta masura asta nu rezolva nici pe departe nevoile romanilor este greu de inteles de ce nu acceptati aplicarea unei masuri cu impact direct si care i ar ajuta pe toti cetatenii acestei tari noi v am propus o deja si ma refer aici la reducerea tva la cinci pentru utilitati si combustibili citind aceasta lege mi am amintit de celebrul raspuns al rabinului intrebat fiind pe patul de moarte de baiatul sau cum a reusit sa stranga o avere atat de mare acesta a raspuns cand am zis ca iau am luat cand am zis ca dau am zis o sa inchei citind un fragment dintr un mesaj pe care l am primit zilele trecute de la un tanar din sibiu stimate domnule senator de ce clasa politica din romania a facut deja o obisnuinta din a si bate joc de noi tinerii acestei tari care am ales sa ramanem aici cum aveti pretentia ca tinerii din aceasta tara sa nu plece cand dumneavoastra luati cu doua maini si ne dati inapoi cu pipeta ne jigniti aruncandu ne doua sute cincizeci de lei o data la doua luni in conditiile in care acum un an un plin de motorina ma costa doua sute cincizeci de lei astazi cand litrul de motorina este noua lei un plin ma costa aproximativ patru sute nouazeci de lei ceea ce rezulta ca tva ul este de saptezeci si opt de lei am nevoie de minim doua plinuri de motorina pe luna pentru a ma deplasa strict la munca asta inseamna ca voi plati lunar doar o suta cincizeci de lei in plus fata de acum un an in doua luni sunt trei sute de lei domnule senator adica cu cincizeci de lei mai mult decat tichetul pe care mi l dati dumneavoastra de ce nu dati inapoi oamenilor macar taxele si accizele pe care le platim in plus la utilitati asta ca sa nu mai vorbesc de banii suplimentari pe care i platim pentru subzistenta nu ajunge ca va bateti joc de noi acum ne mai si jigniti votati pentru acest proiect dar haideti sa convingem guvernul sa dea inapoi banii incorect incasati celor care acum sunt amagiti cu o suta douazeci si cinci de lei pe luna si nu numai lor va multumesc frumos ,"(1280.0, 1527.0)",1280.0,1527.0
16,Doamna Alina-Ștefania Gorghiu:,17087,Domnul Liviu-Lucian Mazilu:,17200, multumesc domnule senator il invit pe domnul senator la microfon dupa care ,"(1023.0, 4844.0)",1023.0,4844.0
17,Domnul Liviu-Lucian Mazilu:,17200,Doamna Alina-Ștefania Gorghiu:,18110, multumesc doamna presedinte este un proiect extrem de important pentru romania practic este un proiect psd care se ingrijeste de oamenii cu veniturile cele mai mici din aceasta tara practic oamenii cei mai napastuiti si vestea buna pe care vreau sa le o dau colegilor de la usr este ca proiectul se implementeaza in ritm accelerat proiectul deja produce efecte posta romana va incepe sa distribuie aceste vouchere si mai mult decat atat iata ca din cele trei unu milioane de lei necesare acestui program jumatate vin din fonduri europene din bani europeni si daca colegii de la usr sustineau ca nu vom avea niciodata acordul comisiei europene ca acesta este doar un powerpoint se vede foarte clar ca s au inselat si de aceasta data si eu cred ca tot ce face guvernul in acest moment este extrem de necesar pentru acei oameni cu venituri mici va multumesc ,"(1560.0, 1612.0)",1560.0,1612.0
