,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,5018,Doamna Alina-Ștefania Gorghiu:,5836, sedintei comune a camerei deputatilor si senatului din ziua de douazeci si doi iunie doua mii douazeci si doi sedinta a inceput la ora zece sapte lucrarile sedintei au fost conduse in prima parte de doamna deputat alina stefania gorghiu vicepresedinte al senatului asistata de domnul senator ion mocioalca secretar al senatului si de domnul deputat daniel codrut blaga secretar al camerei deputatilor din prezidiu a facut parte si domnul deputat vasile daniel suciu vicepresedinte al camerei deputatilor ultima parte a sedintei a fost condusa de domnul deputat vasile daniel suciu vicepresedinte al camerei deputatilor asistat de domnul deputat daniel codrut blaga secretar al camerei deputatilor din prezidiu a facut parte si domnul senator virgil guran vicepresedinte al senatului ,"(3672.04, 3672.04)",3672.04,3672.04
2,Doamna Alina-Ștefania Gorghiu:,5836,Domnul Radu-Mihai Mihail:,6676, doamnelor si domnilor senatori doamnelor si domnilor deputati dati mi voie sa declar deschisa sedinta comuna de astazi a camerei deputatilor si senatului sase va anunt ca din totalul de patru sute saizeci si cinci de deputati si senatori si au inregistrat prezenta pana in acest moment doua sute treizeci si doi proiectul ordinii de zi si proiectul programului de lucru pentru sedinta comuna stabilite de birourile permanente ale celor doua camere cu participarea liderilor grupurilor parlamentare au fost distribuite daca sunt comentarii cu privire la proiectul ordinii de zi il rog pe liderilor senatorilor usr sa ia cuvantul ,"(3672.04, 3672.04)",3672.04,3672.04
3,Domnul Radu-Mihai Mihail:,6676,Doamna Alina-Ștefania Gorghiu:,7777, va multumesc doamna presedinte de sedinta va solicit suplimentarea ordinii de zi cu b309 doua mii douazeci si doi adica abrogarea indemnizatiilor pentru limita de varsta pensiile speciale ale parlamentarilor si in acelasi timp va solicit acordul pentru ca in paralel cu plenul nostru comun sa se desfasoare sedinta comisiei comune pentru statut care sa dea un raport pe aceasta initiativa legislativa ati afirmat toti ca nu vreti sa mai fie pensii speciale pentru parlamentari avem o problema pentru ca curtea constitutionala ne spune ca trebuie sa schimbam ceva este un interval de patruzeci si cinci de zile in care o putem face aceasta este ultima sansa sa o facem deci asteptam sa faceti ceea ce spuneti ca vreti sa faceti in final si sa terminam cu pensiile speciale ale parlamentarilor aveti aceasta sansa astept sa vad cum voteaza marea coalitie pe acest subiect multumesc sapte ,"(1944.04, 1947.04)",1944.04,1947.04
4,Doamna Alina-Ștefania Gorghiu:,7777,Domnul Alfred-Robert Simonis:,7923, mai exista alte interventii din partea grupurilor parlamentare domnul alfred simonis liderul deputatilor psd ,"(79.28, 79.28)",79.28,79.28
5,Domnul Alfred-Robert Simonis:,7923,Doamna Alina-Ștefania Gorghiu:,9349, doamna presedinte domnule presedinte stimati colegi am spus o si ieri o spun si astazi e bine ca usr in opozitie isi aminteste de fiecare data de pensiile speciale ale parlamentarilor si nu numai daca ati fi citit foarte bine motivarea curtii constitutionale ati fi vazut ca e nevoie de redactarea unui proiect amplu pe care sa l scriem toti specialistii tuturor partidelor politice pentru a putea elimina aceste pensii si nu numai aceste pensii daca vreti sa facem populist o lege proasta peste noapte si maine eventual sa treaca si peste trei saptamani sa fie iar declarata neconstitutionala de ccr putem s o facem daca vreti sa scapam cu totii cu adevarat de aceste pensii si noi am votat si in opozitie si la putere pentru impozitarea si eliminarea succesiva a acestor pensii si ati vazut ca n a fost suficient haideti sa ne punem la masa specialistii tuturor partidelor politice sa gasim un proiect astfel incat la finalul dezbaterilor si dupa vot sa avem eliminate pensiile speciale ale parlamentarilor sau impozitate si alte pensii speciale altfel e doar gargara si sa va faceti voi imagine opt ,"(235.32, 3672.04)",235.32,3672.04
6,Doamna Alina-Ștefania Gorghiu:,9349,Doamna Victoria-Violeta Alexandru:,9896, multumesc fac o precizare pentru colegii senatori si deputati ca ieri in birourile permanente reunite s a discutat acest subiect existand doua proiecte unul initiat de grupul usr si altul de doamna deputat violeta alexandru nu stiu daca singura sau nu motiv pentru care biroul permanent reunit a decis amanarea cu o saptamana pentru a se putea discuta cele doua si a fi transmise impreuna la comisia de specialitate o invit la microfon pe doamna deputat violeta alexandru ,"(1944.04, 1947.04)",1944.04,1947.04
7,Doamna Victoria-Violeta Alexandru:,9896,Doamna Alina-Ștefania Gorghiu:,11418, multumesc foarte mult multumesc si pentru precizarile facute ulterior interventiei domnului simonis nu este doar problema usr nu este problema cuiva anume este problema intregii societati aceasta chestiune a pensiilor speciale care de fapt sunt niste indemnizatii suplimentare pensiei pe contributivitate primite de parlamentari si intr adevar la birourile reunite de ieri s a discutat despre amanarea unei decizii de fapt noi cerusem sa intre pe circuitul parlamentar atat propunerea initiata de usr cat si propunerea initiata de grupul deputatilor independenti de dreapta hai sa nu mai amanam noua nu vad niciun motiv domnule simonis pentru care nu au analizat pana acum specialistii la care faceti trimitere decizia curtii constitutionale pentru a putea incepe procesul legislativ deci dati drumul la discutii pe acest subiect aveti toate parghiile sa o faceti si sa demonstrati ca va doriti cu adevarat o decizie pe aceasta chestiune care nu preocupa pe x si pe y ci intreaga societate romaneasca haideti sa o lamurim pana la capat si sa aratam oamenilor ca intr adevar avem capacitatea sa luam o decizie pe aceasta chestiune multumesc si inca o data multumesc doamna presedinte ,"(1944.04, 1947.04)",1944.04,1947.04
8,Doamna Alina-Ștefania Gorghiu:,11418,Domnul George-Nicolae Simion:,11534, va multumesc doamna deputat il invit la cuvant pe domnul deputat george simion ,"(1944.04, 1947.04)",1944.04,1947.04
9,Domnul George-Nicolae Simion:,11534,Doamna Alina-Ștefania Gorghiu:,12390, eu vreau sa i spun domnului simonis ca nu stiu ce asteapta ieri de la tribuna parlamentului a spus clar solutia impozitarea tuturor pensiilor care sunt mai mari decat salariul presedintelui avem de cinci luni pe circuit o lege introdusa in acest sens va rugam nu ne asumam paternitatea e solutia logica pe care o intelege toata lumea si e solutia de bun simt nu stim ce mai asteptati pentru ca ieri cu patru sute douazeci si sapte v ati grabit fara raport ati citit zece cum se poate cu alte legi si sunt constitutionale puteti sa faceti si cu acest proiect de lege care de cinci luni e pe circuitul legislativ multumesc ,"(1944.04, 1947.04)",1944.04,1947.04
10,Doamna Alina-Ștefania Gorghiu:,12390,Domnul Andi-Gabriel Grosaru:,21787, multumesc consider dezbaterile inchise voi supune cele doua propuneri ale colegilor nostri la vot in primul rand va supun suplimentarea ordinii de zi va rog sa va asezati in banci si sa introduceti cartelele in console astfel incat sa putem sa dam acest vot supun votului dumneavoastra suplimentarea ordinii de zi cu propunerea b309 facuta de liderul usr va rog vot saizeci si sapte de voturi pentru zece impotriva o suta treizeci si sase abtineri nu votez patru motiv pentru care propunerea referitoare la ordinea de zi ramane cea formulata pe aceasta o voi supune votului dat fiind faptul ca propunerea dumneavoastra nu a intrunit numarul necesar de voturi nici nu putem sa supunem votului a doua propunere si anume aceea de a lucra in paralel cu plenul ca nu avem pentru ce voi supune acum ordinea de zi asa cum v a fost comunicata votului dumneavoastra rog vot o suta saizeci si patru de voturi pentru contra saizeci si doi trei abtineri unsprezece ordinea de zi a fost aprobata cu majoritatea voturilor daca in legatura cu programul de lucru aveti comentarii supun votului programul de lucru rog vot cu doua sute treizeci si unu de voturi pentru un vot impotriva trei abtineri doi nu votez programul de lucru a fost aprobat la punctul unu al ordinii de zi este inscrisa informarea din partea domnului klaus werner iohannis presedintele romaniei cu privire la aprobarea intrarii stationarii si operarii detasamentului portughez pe teritoriul romaniei in scopul indeplinirii misiunilor subsumate consolidarii posturii de descurajare si aparare a nato stimati colegi va anunt ca informarea transmisa de presedintele romaniei este afisata pe paginile de internet ale celor doua camere ale parlamentului daca aveti interventii va rog nefiind interventii luam act de informarea transmisa de presedintele romaniei la punctul doi al ordinii de zi proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr unsprezece doua mii douazeci si unu privind aprobarea componentei nominale si a conducerii delegatiei permanente a parlamentului romaniei la adunarea parlamentara a nato aveti afisat pe paginile de internet ale celor doua camere proiectul de hotarare doisprezece daca sunt interventii de ordin general nu sunt incepem dezbaterea pe articole daca la titlul proiectului de hotarare sunt obiectii comentarii nu avem la articolul unic sunt obiectii nu adoptat inchidem dezbaterile generale stimati colegi voi supune votului dumneavoastra proiectul de hotarare in ansamblul sau rog vot doua sute treizeci si cinci de voturi pentru doua contra doua abtineri nu votez doua ca urmare a votului exprimat de dumneavoastra hotararea a fost adoptata punctul trei proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr unu doua mii opt privind constituirea comisiei permanente comune a camerei deputatilor si senatului pentru relatia cu unesco proiectul de hotarare este de asemenea afisat pe paginile de internet ale celor doua camere ale parlamentului daca sunt interventii de ordin general va ascult nu sunt urmeaza dezbaterea pe articole daca la titlul proiectului de hotarare sunt obiectii sau comentarii nu exista adoptat la articolul unic sunt obiectii comentarii nu sunt adoptat treisprezece inchidem de asemenea dezbaterile generale la acest punct voi supune votului dumneavoastra proiectul de hotarare in ansamblu rog vot doua sute treizeci si patru de voturi pentru patru voturi impotriva cinci abtineri nu votez unu votul dumneavoastra exprimat inseamna hotararea adoptata punctul patru proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr douazeci si cinci doua mii douazeci si unu privind constituirea grupurilor parlamentare de prietenie proiectul de hotarare e afisat pe paginile de internet ale celor doua camere ale parlamentului daca sunt interventii de ordin general va rog sa le faceti nefiind urmeaza dezbaterea pe articole daca la titlul hotararii exista obiectii comentarii nu exista adoptat la articolul unic nu adoptat inchidem dezbaterile supun votului dumneavoastra proiectul de hotarare in ansamblul sau rog vot doua sute treizeci si opt de voturi pentru trei contra cinci abtineri nu votez doi hotararea a fost adoptata punctul cinci proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr noua doua mii douazeci si unu privind aprobarea paisprezece componentei nominale si a conducerii delegatiei permanente a parlamentului romaniei la adunarea parlamentara a francofoniei proiectul de hotarare este afisat pe paginile de internet ale celor doua camere ale parlamentului aveti interventii de ordin general nu aveti va rog sa imi comunicati daca la titlul proiectului de hotarare sunt obiectii sau comentarii nu sunt adoptat la articolul unic nu avem obiectii comentarii inchidem dezbaterile va rog vot pe hotarare in ansamblul sau doua sute patruzeci si opt de voturi pentru cinci contra cinci abtineri un vot nu s a exprimat hotararea a fost adoptata ca urmare a votului exprimat de dumneavoastra punctul sase proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr trei doua mii douazeci si unu privind aprobarea componentei nominale si a conducerii comitetului director al grupului roman al uniunii interparlamentare aveti proiectul afisat pe paginile de internet ale celor doua camere interventii de ordin general exista nu daca la titlul proiectului sunt obiectii sau comentarii nu exista la articolul unic de asemenea daca aveti obiectii sau comentarii nu aveti cincisprezece inchidem dezbaterile pe acest proiect de hotarare rog vot pe hotarare in ansamblul sau cu doua sute patruzeci si opt de voturi pentru noua impotriva doua abtineri un vot neexprimat hotararea a fost adoptata sapte urmatorul punct proiectul de hotarare privind modificarea anexei la hotararea parlamentului romaniei nr doisprezece doua mii sase pentru infiintarea comisiei permanente a camerei deputatilor si senatului privind statutul deputatilor si al senatorilor organizarea si functionarea sedintelor comune ale camerei deputatilor si senatului proiectul de hotarare e afisat pe paginile de internet ale celor doua camere ale parlamentului va rog stimati colegi interventii de ordin general nu exista daca la titlul proiectului sunt obiectii sau comentarii nu avem daca la articolul unic avem obiectii sau comentarii nu avem de asemenea adoptat inchidem dezbaterile si supun votului dumneavoastra proiectul de hotarare in ansamblul sau rog vot multumesc doua sute cincizeci de voturi pentru sapte impotriva cinci abtineri hotararea a fost adoptata punctul opt proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr doisprezece doua mii douazeci si unu privind aprobarea saisprezece componentei nominale si a conducerii delegatiei permanente a parlamentului romaniei la adunarea parlamentara a organizatiei pentru securitate si cooperare in europa proiectul este afisat pe paginile de internet ale celor doua camere ale parlamentului daca sunt interventii de ordin general nu exista daca la titlul proiectului de hotarare sunt obiectii sau comentarii adoptat la articolul unic aveti comentarii sau obiectii nu aveti adoptat voi supune votului proiectul de hotarare in ansamblul sau rog vot doua sute cincizeci de voturi pentru zece impotriva nicio abtinere hotararea a fost adoptata punctul noua proiectul de hotarare pentru modificarea anexei la hotararea parlamentului romaniei nr douazeci si sapte doua mii douazeci si unu privind constituirea grupului pro america proiectul este afisat de asemenea pe paginile de internet ale camerei deputatilor si senatului daca aveti interventii de ordin general le astept nefiind va intreb daca la proiectul de hotarare il invit la dezbateri generale va rog interventii de ordin general domnul deputat grosaru saptesprezece ,"(3479.04, 3540.04)",3479.04,3540.04
