,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,ședinței Senatului din 19 octombrie 2022,21, ,"(120.0, 7979.0)",120.0,7979.0
2,ședinței Senatului din 19 octombrie 2022,21,S U M A R,65, ,"(120.0, 7979.0)",120.0,7979.0
3,S U M A R,65,S T E N O G R A M A,7693, unu intrebari si interpelari cinci sase optsprezece treizeci si sase treizeci si noua patruzeci si patru doi declaratii politice cinci sase optsprezece treizeci si cinci treizeci si sapte treizeci si noua patruzeci si patru trei propunerea legislativa pentru modificarea si completarea legii nr optzeci o mie noua sute nouazeci si cinci patruzeci si patru privind statutul cadrelor militare din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(7395.0, 7884.0)",7395.0,7884.0
4,S T E N O G R A M A,7693,ședinței Senatului din 19 octombrie 2022,7714, ,"(120.0, 7979.0)",120.0,7979.0
5,ședinței Senatului din 19 octombrie 2022,7714,Domnul Virgil Guran:,7961, sedinta a inceput la ora noua treizeci si trei lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnii ion narcis mircescu si sorin lavric secretari ai senatului ,"(704.0, 704.0)",704.0,704.0
6,Domnul Virgil Guran:,7961,Domnul Costel Vicol:,8957, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi nouasprezece octombrie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion narcis mircescu si domnul senator sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora in acelasi timp avem un coleg care trebuie sa plece la alta activitate si are o declaratie politica si atunci o sa procedez in felul urmator o sa deschidem si sesiunea consacrata declaratiilor politice timpul alocat pentru prezentarea acestora fiind de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora si o sa facem aceasta derogare pentru a putea sa ajunga la sedinta ii dau cuvantul domnului senator vicol costel pentru declaratie politica ,"(690.0, 756.0)",690.0,756.0
7,Domnul Costel Vicol:,8957,Domnul Virgil Guran:,12528, multumesc domnule presedinte de sedinta titlul declaratiei politice exista semeni care au nevoie de ajutorul nostru domnule prim ministru domnilor ministri desi pare incredibil exista persoane care au nevoie de ajutorul statului si al semenilor lor acutizarea crizei financiare la nivel global are un impact major asupra adancirii stratificarii sociale si a diferentelor dintre saraci si bogati primii s au dus prea sus ultimii se lupta sa supravietuiasca din resursele infime amagindu si foamea de la o zi la alta asteptand putinul pe care l pot primi din mila semenilor sau a statului roman maretul stat roman mult prea ocupat sa priveasca atent la nevoile celor nevoiasi desi pare incredibil exista copii in secolul xxi care vin flamanzi la scoala exista copii care nu au acasa o portie de mancare gatita exista copii care merg cu aceleasi haine ponosite chiar si un an de zile la scoala cu pantofii rupti mai mari sau mai mici decat numarul piciorului dar totusi merg la scoala si isi fac temele si sunt responsabili si nu se plang stiu ca scoala este singura speranta a salvarii lor din traiul mizer pe care il duc acesti copii nu se plang nu spun ce probleme existentiale au nu spun ca le e foame nu se plang de frig nici nu cer ajutorul nimanui isi duc poverile cu curaj zambind cu o disimulata bucurie si cu demnitatea unor copii adulti caliti de o viata mult prea aspra prea searbada si plina de nevoi asteptandu si urmatoarea eugenie cumparata de parinti din alocatia lunara alocatie care se va fi terminat dupa prima saptamana a lunii da exista astfel de copii in secolul xxi in romania din pacate exista o multime de oameni aflati in dificultate dar cei care au cu adevarat nevoie de ajutorul statului roman sunt batranii si copiii care cresc in familii monoparentale lipsiti de unul dintre parinti mama sau tata au nevoie de suport din partea acestui stat mai ales parintii care si au petrecut copilaria in centre de plasament care au trecut prin drama abandonului parintesc si care acum incearca sa si cladeasca la randul lor familii chiar daca si fara sprijinul unor rude incercand sa si creasca copiii alaturi de ei si sa le asigure siguranta caminului si catre aceste familii ar trebui sa se indrepte sprijinul statului roman finantand programe de construire de locuinte sociale la nivelul fiecarei comunitati locale si reglementand forme de sprijin financiar personalizate fiecarei probleme specifice lor caci acest gen de familii nevoiase exista in toate satele tarii nu numai la orase de mult prea multa vreme legea nr patru sute saisprezece doua mii unu privind venitul minim garantat mimeaza ajutorul acordat romanilor nevoiasi simuland sprijinul celor necajiti si umpland buzunarele celor care nu au neaparat nevoie de el aceasta lege nu mai asigura de mult suportul financiar suficient sa acopere nevoile reale ale oamenilor impovarati de foame si de neajunsuri lasati la mila destinului exploatati de multe ori de catre semenii lor mai instariti parinti care si condamna la aceeasi soarta propriii copii nu din nepasarea lor ci din vina unui stat care este incapabil sa le vada dramele si nu vrea sa i vada dar ei exista totusi v ati pus vreodata intrebarea oare cum va arata societatea romaneasca peste cativa ani daca in prezent actualul guvern nu constientizeaza care sunt adevaratele prioritati si ii scapa din vedere tocmai pe cei aflati cu adevarat la nevoie senator grup parlamentar usr de tulcea costel vicol va multumesc ,"(869.0, 993.0)",869.0,993.0
8,Domnul Virgil Guran:,12528,Domnul Claudiu-Marinel Mureșan:,12656, multumesc si eu revenim la intrebari interpelari si dau cuvantul domnului senator claudiu muresan ,"(1003.0, 7884.0)",1003.0,7884.0
9,Domnul Claudiu-Marinel Mureșan:,12656,Domnul Virgil Guran:,16071, va multumesc frumos domnule presedinte stimati colegi am o interpelare pe care as vrea sa o adresez ministrului mediului domnului tanczos barna obiectul interpelarii capitalul natural parte a biodiversitatii stimate domnule ministru romania detine in acest moment cele mai bine si conservate plaje productive care pot functiona la scara larga spuneam ca romania detine in acest moment cele mai bine conservate si mai productive peisaje care pot functiona la scala larga si astea nu sunt cuvintele mele sunt cuvintele regelui charles al iii lea chiar la sibiu anul acesta cand a participat la deschiderea celui mai mare proiect de reimpadurire din europa thinkforest biodiversitatea din romania este unica in europa si merita toata atentia noastra deoarece acum este in pericol grav de a fi distrusa in romania se regasesc optzeci si sapte de tipuri de habitate si doua sute patruzeci si cinci de specii diverse care intra in domeniul de aplicare a directivei privind habitatele pe teritoriul tarii se afla de asemenea populatii de pasari din o suta patruzeci si opt de specii toate fiind enumerate in anexa i la directiva privind pasarile natura doua mii cea mai ampla retea coordonata de zone protejate din lume este instrumentul cheie pentru atingerea obiectivelor din directivele privind pasarile si habitatele aceste obiective sunt protejarea conservarea si asigurarea supravietuirii pe termen lung a celor mai valoroase si mai periclitate specii si habitate din europa precum si a ecosistemelor la baza carora stau acestea in romania existau sase sute sase situri natura doua mii dintre care noua situri marine in iulie doua mii nouasprezece a fost deschisa o procedura de constatare a neindeplinirii obligatiilor termenul de sase ani stabilit in directiva privind habitatele pentru stabilirea unor obiective si masuri de conservare adecvate a expirat in cazul a trei sute optzeci si trei de situri din romania conform celor mai recente informatii furnizate in cadrul dialogului privind natura din cele sase sute sase situri natura doua mii exista un plan de gestionare pentru doua sute douazeci si unu din acestea iar pentru doua sute nouazeci si trei nu exista un astfel de plan domnule ministru in raport sunt prezentate si informatii cu privire la terenurile agricole suprafata folosita pentru agricultura ecologica in romania este estimata la trei patruzeci si cinci sub media de noua din uniunea europeana trebuie sa reducem utilizarea pesticidelor a substantelor chimice periculoase pentru a ne asigura ca fertilitatea solului nu se deterioreaza solul este resursa finita si extrem de fragila acesta se degradeaza din ce in ce mai mult si in uniunea europeana domnule ministru avem la indemana aceste directive ale uniunii europene privind habitatele si pasarile ce sunt adevarate instrumente legislative esentiale si reprezinta piatra de temelie a legislatiei europene in materie de conservare a speciilor salbatice din uniunea europeana haideti sa ne folosim de ele asadar domnule ministru va solicit sa mi comunicati un raspuns in scris la urmatoarele intrebari unu ce strategie are ministerul mediului in vedere pentru a pune in aplicare directivele uniunii europene cu scopul de a contribui la strategia acesteia a uniunii europene privind biodiversitatea pentru anul doua mii treizeci doi ce surse de finantare ati identificat necesare elaborarii unei strategii nationale in domeniul biodiversitatii va multumesc claudiu muresan senator de sibiu ,"(1021.0, 1253.0)",1021.0,1253.0
10,Domnul Virgil Guran:,16071,Domnul Sorin-Cristian Mateescu:,16165, multumesc si eu are cuvantul domnul senator mateescu sorin cristian ,"(1256.0, 5982.0)",1256.0,5982.0
