,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 11 mai 2022,21, ,"(330.0, 8098.74)",330.0,8098.74
2,şedinţei Senatului din 11 mai 2022,21,S U M A R,59, ,"(330.0, 8098.74)",330.0,8098.74
3,S U M A R,59,S T E N O G R A M A,2662, unu intrebari si interpelari trei patru sase unsprezece doisprezece treizeci si trei patruzeci si noua doi declaratii politice patru sase unsprezece doisprezece treizeci si trei patruzeci si noua trei aprobarea ordinii de zi si a programului de lucru patruzeci si noua cincizeci si unu saizeci si trei saptezeci si sase sapte mii sapte sute saptezeci si opt saptezeci si noua patru dezbaterea si adoptarea propunerii legislative pentru modificarea si cincizeci si unu saizeci si trei completarea legii nr doua sute cincizeci si sase doua mii optsprezece privind unele masuri necesare pentru saizeci si trei saptezeci si unu implementarea operatiunilor petroliere de catre titularii de acorduri petroliere referitoare la perimetre petroliere offshore ,"(1500.52, 5912.74)",1500.52,5912.74
4,S T E N O G R A M A,2662,şedinţei Senatului din 11 mai 2022,2683, ,"(330.0, 8098.74)",330.0,8098.74
5,şedinţei Senatului din 11 mai 2022,2683,Domnul Robert-Marius Cazanciuc:,2987, sedinta a inceput la ora noua treizeci si doi lucrarile sedintei au fost conduse de domnul robert marius cazanciuc inlocuit de doamna alina stefania gorghiu vicepresedinti ai senatului asistati de domnul ion narcis mircescu si domnul sorin lavric secretari ai senatului ,"(330.0, 8098.74)",330.0,8098.74
6,Domnul Robert-Marius Cazanciuc:,2987,Domnul Claudiu-Marinel Mureșan:,3559, buna dimineata extinsa audienta bine v am regasit stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi unsprezece mai sedinta este condusa de vicepresedinte robert cazanciuc ajutat de domnii secretari ion mocioalca si sorin lavric conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora incepem cu primul venit domnul muresan din partea usr va rog intrebare si interpelare ,"(1121.52, 2346.52)",1121.52,2346.52
7,Domnul Claudiu-Marinel Mureșan:,3559,Domnul Robert-Marius Cazanciuc:,6725, va multumesc frumos domnule presedinte stimati colegi am o interpelare adresata domnului ministru tanczos barna ministrul mediului stimate domnule ministru as vrea sa semnalez o problema cu care se confrunta cetatenii datorita cadrului legal existent si ma refer aici la excluderea proprietatilor comune individuale sub forma de condominiu cu mai mult de doua apartamente de la finantarea achizitionarii si instalarii sistemelor de panouri fotovoltaice ghidul de finantare a programului privind instalarea sistemelor de panouri fotovoltaice pentru producerea de energie electrica prevede finantarea beneficiarilor eligibili carora li se acorda un procent de pana la nouazeci din valoarea totala a cheltuielilor pentru achizitia de panouri fotovoltaice in limita sumei de douazeci zero de lei or in realitate in realitatea de astazi a romaniei potrivit careia optzeci dintre autorizatiile de constructie acordate dezvoltatorilor imobiliari sunt acordate pentru construirea caselor de tip insiruit sub forma de condominiu ,"(5276.74, 5278.74)",5276.74,5278.74
8,Domnul Robert-Marius Cazanciuc:,6725,Domnul Claudiu-Marinel Mureșan:,6767, va rog ,"(7568.74, 7652.74)",7568.74,7652.74
9,Domnul Claudiu-Marinel Mureșan:,6767,Domnul Robert-Marius Cazanciuc:,10321, declaratia politica pe care doresc sa o dau citire astazi se numeste camera de comert si taxa pentru nimic stimati colegi pe circuitul senatului a fost depus un proiect legislativ initiat de actuala coalitie daca stai si privesti in ansamblu la ce se intampla in ultimul timp in romania iti dai seama ca totul este facut cu smechereala de smecheri si pentru smecheri un plagiator este numit judecator la curtea constitutionala presedintii de consilii judetene vor si ei girofar camera de comert si industrie a romaniei vrea sa dea un tun imobiliar la romexpo si aceeasi camera de comert vrea sa impuna o taxa de smecher tuturor firmelor din romania o taxa pe care trebuie sa o suporte toti pornind de la antreprenori mici intreprinderi familiale sau pfa pana la companiile mari pentru ce aceasta taxa domnilor pai pentru un catalog de evidenta a tuturor firmelor din romania si daca tu firma nu platesti contributia catre camera de comert atunci nu poti depune bilant la anaf daca nu depui bilant la anaf atunci primesti amenda de pana la patru cinci sute de lei si o alta trasnaie in primul an de la infiintare si pana la depunerea primei situatii financiare anuale reprezentantul legal al firmei are obligatia de a obtine un certificat de competenta acest minunat certificat de competenta se elibereaza evident tot de catre camera de comert in urma absolvirii unui curs de instruire in domenii specifice administrarii si managementului afacerilor iar daca nu se obtine acest certificat de competenta ei atunci nu se poate din nou depune bilantul la anaf va readuc aminte ca aceasta camera de comert si industrie nu este o institutie a statului domnilor camera de comert si industrie a romaniei nu este altceva decat un ong iar acesta creeaza servicii pentru cei care doresc sa participe la actiuni impreuna cu camera de comert aceasta nu este o taxa de solidaritate ci mai degraba este o taxa de protectie care atentie este in euro pentru ca cei de la camera de comert au trecut deja la moneda euro sumele obtinute din taxele obligatorii vor fi redistribuite in mod egal tuturor camerelor de comert si vor fi folosite atentie pentru promovare zice presedintele camerei de comert mie mi se pare amuzat cum puteti sa mai cereti bani de la cei care oricum duc in spate economia romaneasca care abia au rezistat socului cauzat de pandemie de pretul facturilor de cel al carburantilor si cum va permiteti sa vorbiti despre solidaritate dupa ce zeci de mii de firme mici mijlocii si mari au dat faliment pentru ca le ati intors spatele cand aveau nevoie de mai mult sprijin lasati in pace firmele domnule daraban lasati firmele sa decida ce e mai bine pentru ele cum vor sa si faca promovarea nu va mai dati mari sustinatori ai mediului privat pentru ca nu sunteti daca aceasta camera de comert era o lumina in promovarea afacerilor firmele ar fi dat navala din proprie initiativa sa ceara sa fie ajutate in promovare dar nu este desigur ca guvernul coalitiei nu a vazut nimic nefiresc in cererea camerei de comert domnilor din guvern domnilor ministri ai finantelor ai economiei ai antreprenoriatului ai cui vreti dumneavoastra veniti cu solutii adevarate de sprijin pentru cei din mediul privat si va asigur ca acestia vor veni de bunavoie catre institutiile statului si si vor arata solidaritatea pe care oricum o arata in fiecare luna platindu si taxele va multumesc frumos ,"(3903.74, 5278.74)",3903.74,5278.74
10,Domnul Robert-Marius Cazanciuc:,10321,Domnul Călin-Gheorghe Matieș:,10468, multumesc continuam cu sesiunea de intrebari si interpelari domnul maties din partea grupului psd va rog ,"(5276.74, 5278.74)",5276.74,5278.74
11,Domnul Călin-Gheorghe Matieș:,10468,Domnul Robert-Marius Cazanciuc:,13847, multumesc mult domnule presedinte stimati colegi am astazi o intrebare adresata domnului lucian romascanu ministrul culturii intrebarea este cum dumnezeu reusim sa punem o statuie a unui antiroman bethlen gabor in mijlocul orasului alba iulia de a dreapta lui mihai viteazul primarul municipiului alba iulia domnul gabriel codru plesa primar usr doreste construirea si dezvelirea unui bust al lui bethlen gabor in alba iulia bethlen gabor a fost principe al transilvaniei si rege al ungariei care a avut ca rol primordial maghiarizarea ardealului si stergerea identitatii culturale a romanilor din transilvania acelasi bethlen gabor l a slujit pe sigismund bathory si a fost membru al escortei princiare la inceputul anului o mie cinci sute nouazeci si sapte cand sigismund bathory a calatorit la praga la imparatul rudolf pentru a intari alianta transilvaniei cu imperiul habsburgic si a l intoarce pe imparat impotriva marelui voievod mihai viteazul acelasi bethlen gabor a luptat impotriva lui mihai viteazul la selimbar daca ministerul culturii va opri construirea unui bust al lui bethlen gabor la alba iulia de catre primarul usr gabriel codru plesa multumesc din suflet mai am o intrebare domnule presedinte daca mi permiteti ,"(5276.74, 5278.74)",5276.74,5278.74
12,Domnul Robert-Marius Cazanciuc:,13847,Domnul Călin-Gheorghe Matieș:,13930, da pe scurt va rog daca se poate multumesc ,"(5276.74, 5278.74)",5276.74,5278.74
