,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 27 iunie 2022,21, ,"(540.0, 10008.2)"
2,şedinţei Senatului din 27 iunie 2022,21,S U M A R,61, ,"(540.0, 10008.2)"
3,S U M A R,61,S T E N O G R A M A,7046, unu aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unor patru initiative legislative doi dezbaterea si adoptarea proiectului de lege privind aprobarea ordonantei de cinci noua urgenta a guvernului nr saptezeci si doi doua mii douazeci si doi pentru modificarea si completarea ordonantei de patruzeci si sase patruzeci si sapte urgenta a guvernului nr saizeci si trei doua mii douazeci si doi privind unele masuri temporare pentru acordarea de sprijin material categoriilor de persoane aflate in situatii de risc de deprivare materiala si sau risc de saracie extrema suportate partial din fonduri externe nerambursabile precum si unele masuri de distribuire a acestuia din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1430.0, 1455.0)"
4,S T E N O G R A M A,7046,şedinţei Senatului din 27 iunie 2022,7067, ,"(540.0, 10008.2)"
5,şedinţei Senatului din 27 iunie 2022,7067,Domnul Florin-Vasile Cîțu:,7313, sedinta a inceput la ora cincisprezece noua lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(540.0, 10008.2)"
6,Domnul Florin-Vasile Cîțu:,7313,Domnul Nicolae Neagu:,11664, buna ziua stimati colegi haideti sa incepem sedinta declar deschisa sedinta senatului din douazeci si sapte iunie doua mii douazeci si doi sedinta este condusa de subsemnatul presedintele senatului asistat de domnul mocioalca si domnul mircescu secretari ai senatului raportul comun al comisiei pentru buget finante activitate bancara si piata de capital este de admitere domnule presedinte al comisiei va rog va rog ,"(1080.0, 1086.0)"
7,Domnul Nicolae Neagu:,11664,Domnul Florin-Vasile Cîțu:,14495, multumesc domnule presedinte raportul este comun al comisiei pentru buget finante activitate bancara si piata de capital si comisiei pentru munca familie si protectie sociala privind aprobarea ordonantei de urgenta a guvernului nr saptezeci si doi pentru modificarea si completarea ordonantei de urgenta a guvernului nr saizeci si trei privind unele masuri temporare pentru acordarea de sprijin material categoriilor de persoane aflate in situatii de risc de deprivare materiala si sau risc de saracie extrema suportate partial din fonduri externe nerambursabile precum si unele masuri de distribuire a acestuia proiectul de lege are ca obiect de reglementare masuri temporare pentru acordarea de sprijin material categoriilor sus mentionate suportate partial din fonduri externe nerambursabile precum si unele masuri de distribuire a acestuia astfel se inlocuieste art trei alin din venit net lunar cu expresia venit lunar realizat pentru coroborare cu notiuni utilizate in domeniul fiscalitatii si pentru determinarea corecta a veniturilor de catre ministerul finantelor prin agentia nationala de administrare fiscala se includ categorii de venituri luate in calcul pentru determinarea nivelului veniturilor lunare realizate de catre persoanele fizice potentiale beneficiare ale sprijinului material a urmatoarelor venituri venituri din activitati independente din dreptul de proprietate intelectuala si venituri din premii si jocuri de noroc excluderea din categoria veniturilor realizate a celor neimpozabile intrucat potrivit prevederilor legii nr doua sute sapte privind codul de procedura fiscala acestea nu se declara la organele fiscale excluderea veniturilor realizate din transferul proprietatilor imobiliare avand in vedere ca potrivit legi nr doua sute douazeci si sapte privind codul fiscal in cazul acestora suma de patru sute cincizeci zero de lei reprezinta venit neimpozabil si stabilirea regulilor de determinare a nivelului veniturilor lunare realizate avand in vedere ca potrivit prevederilor codului fiscal veniturile realizate de persoanele fizice din activitati independente drepturi de proprietate intelectuala cedarea folosintei bunurilor investitii si venituri din activitati agricole si altele nu au obligatia angajatorii platitori au obligatia de a depune declaratia privind obligatiile de plata a contributiilor sociale impozitului pe venit si evidenta nominala a persoanelor asigurate lunar sau trimestrial comisia pentru buget finante si comisia pentru munca solicita plenului senatului dezbaterea si adoptarea raportului comun de admitere a proiectului de lege fara amendamente facem precizarea ca proiectul de lege face parte din categoria legilor ordinare senatul fiind prima camera sesizata ,"(1552.0, 1654.0)"
8,Domnul Florin-Vasile Cîțu:,14495,Doamna Diana Iovanovici-Șoșoacă:,15141, va multumesc domnule presedinte stimati colegi pentru ca suntem in format hibrid astazi dupa ce a avut aceasta interventie domnul presedinte nu vom mai avea interventiile de la comisie sau de la guvern vom trece prin dezbateri asa cum erati obisnuiti in sistemul hibrid pentru a putea acoperi cat mai mult din ordinea de zi deci am spus proiectul de comun este de admitere raportul e de admitere proiectul de lege face parte din categoria legilor ordinare senatul este prima camera sesizata incepem dezbaterile pe acest proiect de lege daca sunt interventii doamna senator sosoaca va rog ,"(1667.0, 7350.76)"
9,Doamna Diana Iovanovici-Șoșoacă:,15141,Domnul Florin-Vasile Cîțu:,16872, multumesc frumos ajungem iar la aceleasi discutii sunt niste masuri populiste in care discriminati oamenii saraci ii impartiti in saraci mai putin saraci mai mult decat saraci si asa mai departe vreau sa va intreb ca va raportati la venituri lunare realizate daca sunt mai mici sau egale cu unu cinci sute de lei cel care are unu cinci sute cincizeci lei cu ce este mai bogat fata de cel care are unu cinci sute de lei va raportati la familii cu cel putin doi copii in intretinere ale caror venituri lunare realizate pe membru de familie sunt mai mici sau egale cu sase sute de lei care e diferenta intre sase sute de lei si sase sute cincizeci lei sau sase sute unu lei la fel si la familiile monoparentale dumneavoastra stiti ce inseamna unu cinci sute de lei unu cinci sute de lei probabil ca e spaga pe care o dati la restaurant cand va adunati cu totii in schimb ce oamenii astia trebuie sa traiasca cu unu cinci sute de lei o luna intreaga cum e posibil sa luati astfel de sa aveti astfel de initiative in care discriminati saracii intre ei o sa ajunga sa si dea in cap din cauza dumneavoastra va bateti joc care i diferenta chiar va rog frumos sa mi spuna un reprezentant al guvernului daca este aici intre unu cinci sute si unu cinci sute unu lei intre sase sute si sase sute unu lei ati incercat vreodata sa traiti cu banii astia intr o luna sa vedeti ce inseamna asta este ca si cand vine domnul ciuca si spune sau nu iohannis eh cincizeci de bani sunt si ei o diferenta nu i dai pai chiar va bateti joc de poporul roman in frunte cu presedintele romaniei care numai presedinte al romaniei nu e ori cincizeci de bani ori unu cinci sute este o bataie de joc la adresa poporului roman astea s masuri populiste nu iesiti cu nimic in evidenta decat cu discriminare ,"(540.0, 716.0)"
10,Domnul Florin-Vasile Cîțu:,16872,Domnul Ștefan Pălărie:,17147, va multumesc avem o interventie din online doamna simona elena spataru va rog v auzim va rog doamna spataru nu se aude nimic din pacate nu se aude intrerupem interventia daca mai avem alta interventie din sala domnul palarie ,"(1836.0, 1866.0)"
11,Domnul Ștefan Pălărie:,17147,Domnul Florin-Vasile Cîțu:,18792, multumesc domnule presedinte stimate colege stimati colegi daca tot avem reprezentanti ai guvernului i as intreba in privinta acestui oug care se doreste a fi una dintre multele masuri luate ca pachet de masuri sociale pentru cei afectati de cresterea preturilor si scaderea puterii de cumparare si i as intreba mai ales ca acest program a fost trambitat incepand cu luna februarie cate din cardurile de tichete sociale au fost distribuite catre beneficiari o sa va spun eu care sunt cifrele doi cinci milioane de beneficiari incadrati in randul celor eligibili repet cifra doi cinci milioane de persoane ar trebui sa fie beneficiare ale acestui program stiti cate carduri au fost distribuite de catre posta romana pana la acest moment desi masurile ar fi trebuit sa fie valabile iar banii pe aceste carduri la unu iulie din discutiile purtate cu posta romana cincizeci zero de carduri au fost distribuite cincizeci zero din doi cinci milioane o sa i rog pe cei de la guvern daca sunt aici prezenti sa ne raspunda la intrebare doar ca sa ne motivam votul noi vom vota in favoarea acestei initiative credem ca este una dintre multele multele masuri necesare pentru a combate saracia prin care trece romania astazi dar gasim absolut inadmisibila lentoarea cu care tot executivul se misca in privinta acestui program mult laudat daca cifrele sunt corecte cincizeci zero distribuite din doi cinci milioane in ritmul acesta probabil ca abia in doua mii douazeci si cinci vom avea ultimele carduri distribuite iar asta este absolut inacceptabil asteptam raspunsul de la guvern va multumesc ,"(1887.0, 2000.0)"
12,Domnul Florin-Vasile Cîțu:,18792,Domnul Ion Rotaru:,18987, va multumesc guvernul o sa raspunda in scris cererii domnului senator interventie din partea da domnul rotaru din partea psd microfonul central ,"(3270.0, 7346.76)"
