,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 14 noiembrie 2022,21, ,"(0.0, 7192.0)"
2,şedinţei Senatului din 14 noiembrie 2022,21,S U M A R,65, ,"(0.0, 7192.0)"
3,S U M A R,65,S T E N O G R A M A,5033, unu alocutiune pentru marcarea a cincizeci de ani de la adoptarea conventiei privind protectia patru patrimoniului mondial cultural si natural doi adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la zece sapte noiembrie doua mii douazeci si doi a unei initiative legislative trei dezbaterea si adoptarea proiectului de lege pentru aprobarea acordului cadru de sapte noua imprumut proiectul privind reabilitarea patrimoniului construit si a cladirilor cu treizeci si cinci destinatie culturala dintre romania si banca de dezvoltare a consiliului europei semnat la paris la unu iunie doua mii douazeci si doi si la bucuresti la noua iunie doua mii douazeci si doi din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1048.0, 6033.0)"
4,S T E N O G R A M A,5033,şedinţei Senatului din 14 noiembrie 2022,5054, ,"(0.0, 7192.0)"
5,şedinţei Senatului din 14 noiembrie 2022,5054,Doamna Alina-Ștefania Gorghiu:,5331, sedinta a inceput la ora cincisprezece sase lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnul ion mocioalca si domnul ion narcis mircescu secretari ai senatului ,"(0.0, 7192.0)"
6,Doamna Alina-Ștefania Gorghiu:,5331,Domnul Ionuț Neagu:,6763, doamnelor si domnilor senatori declar sedinta plenului senatului de astazi deschisa este aceasta sedinta condusa de buna ziua mine impreuna cu colegii nostri secretari de sedinta ion mocioalca si l invit si pe domnul narcis mircescu sa se aseze langa mine ordinea de zi pentru sedinta plenului de astazi si programul de lucru au fost stabilite de biroul permanent si comitetul liderilor grupurilor parlamentare au fost distribuite afisate pe pagina de internet a senatului conform art o suta treizeci si sapte coroborat cu art o suta treizeci si sase din regulament conform hotararii biroului permanent al senatului adoptata cu acordul prealabil al comitetului liderilor grupurilor parlamentare sedinta plenului se desfasoara prin mijloace electronice in conformitate cu procedura prevazuta la art o suta unsprezece din regulament in cadrul dezbaterilor generale va lua cuvantul un singur reprezentant al fiecarui grup parlamentar pentru maximum doi minute reprezentantul senatorilor neafiliati maximum un minut pentru operativitate in prima parte vom desfasura dezbaterile asupra punctelor inscrise pe ordinea de zi dupa inchiderea acestora in a doua parte se va desfasura sesiunea de vot final conform hotararii comitetului liderilor grupurilor parlamentare va amintesc ca incepand cu ora saptesprezece zero avem plen reunit inainte de aveti pe procedura de va rog frumos domnule neagu aveti cuvantul ,"(856.0, 932.0)"
7,Domnul Ionuț Neagu:,6763,Doamna Alina-Ștefania Gorghiu:,7656, multumesc frumos doamna presedinta va multumesc pentru amabilitatea ca mi ati dat cuvantul si sper ca si in continuare la urmatoarea sedinta sa mi faceti aceasta onoare ce vreau sa reclam vreau sa reclam urmatorul lucru data trecuta v am facut am adresat o intrebare din cate am inteles nu ati inteles de asta va rog sa fiti foarte atenta acum doua saptamani am pus in biroul permanent o sesizare in care reclamam modul in care se procedeaza in comisii respectiv incredintarea voturilor stiti foarte bine este ilegal au trecut cele doua saptamani va rog frumos comisia de regulament sa dea un raspuns mai mult decat atat pentru ca nu mi a dat un raspuns si pentru ca nici data trecuta data anterioara dumneavoastra nu mi ati dat un raspuns va incredintez votul meu da de astazi si sa procedati ca in comisii multumesc ,"(939.0, 999.0)"
8,Doamna Alina-Ștefania Gorghiu:,7656,Domnul Eugen-Remus Negoi:,8230, stimati colegi vom trece dupa declaratii politice la sectiunea i a ordinii de zi punctul unu sectiunea i avem o alocutiune cu prilejul implinirii a cincizeci de ani de la adoptarea conventiei privind protectia patrimoniului mondial cultural si natural la solicitarea comisiei permanente comune a senatului si camerei deputatilor pentru relatia cu unesco il invit la microfon pe domnul senator remus negoi pentru a avea aceasta alocutiune din partea comisiei permanente domnule vicepresedinte al comisiei aveti cuvantul ,"(1001.0, 1037.0)"
9,Domnul Eugen-Remus Negoi:,8230,Doamna Alina-Ștefania Gorghiu:,13461, multumesc doamna presedinta alocutiune cu ocazia implinirii a cincizeci de ani de la adoptarea conventiei privind protectia patrimoniului mondial cultural si natural si a zilei patrimoniului mondial unesco din romania stimate colege stimati colegi onorata asistenta sarbatorim anul acesta cinci decenii de la adoptarea conventiei privind protectia patrimoniului mondial cultural si natural totodata pe saisprezece noiembrie in romania se celebreaza patrimoniul mondial deoarece acum noua ani comisia parlamentara pe care cu onoare o reprezint in calitate de vicepresedinte a initiat legea privind declararea acestei zile ca fiind ziua patrimoniului mondial unesco in romania unesco sarbatoreste cea de a cincizeci a aniversare a conventiei patrimoniului mondial cultural si natural intr un mod inedit invitandu ne pe fiecare dintre noi sa ne imaginam relatia cu patrimoniul asa cum este el astazi si cum va fi si in urmatorii cel putin cincizeci de ani ne indeamna la reflectie si constientizare a responsabilitatii noastre fata de conservarea patrimoniului in fata provocarilor globale in crestere conservarea patrimoniului este unul dintre obiectivele principale ale unesco iar agenda doua mii treizeci adoptata de adunarea generala a onu integreaza pentru prima data rolul culturii prin intermediul patrimoniului material sau imaterial si al creativitatii ca un factor care faciliteaza dezvoltare durabila consider ca luate impreuna prevederile conventiei privind patrimoniul mondial ale conventiei pentru salvgardarea patrimoniului cultural imaterial ale conventiei din doua mii cinci privind protectia si promovarea diversitatii expresiilor culturale precum si ale agendei doua mii treizeci pot transforma in mod pozitiv nu numai politic cultural ci si cele economice sociale si de mediu in favoarea sustenabilitatii stimate colege stimati colegi onorata asistenta prin ratificarea conventiei romania si a asumat cu fermitate si proactiv sa asigure in mod constant consolidarea protectiei patrimoniului mondial cultural si natural patrimoniul este astazi ceea ce cu atata drag si cu eforturi pe care greu ni le putem imagina au creat stramosii nostri patrimoniul este tot ceea ce inaintasii nostri au pastrat pentru a fi lasat ca pretios testament urmasilor este de datoria noastra dragi colegi sa lasam copiilor si nepotilor nostri intacta aceasta mostenire care ne face diferiti unici si exceptionali avem misiunea si obligatia morala sa protejam sa conservam si sa ne asiguram ca si generatiile viitoare vor avea acces la bunuri de patrimoniu cu un caracter inestimabil cu peste unu cinci sute de bunuri de patrimoniu mondial inscrise pe lista putem vorbi de o adevarata realizare in ceea ce priveste succesul conventiei unul dintre putinele instrumente normative ratificate aproape universal romania are in acest moment inscrise in lista patrimoniului mondial unesco noua obiective dintre care sapte culturale si doua naturale si as reaminti cu mandrie unele dintre acestea delta dunarii bisericile din moldova cetatile dacice sau peisajul cultural minier rosia montana care reprezinta un obiectiv inscris si din pacate in lista patrimoniului mondial in pericol anul inscrierii fiind doua mii douazeci si unu dar toate aceste succese aduc cu sine noi provocari care trebuie abordate cu responsabilitate de fiecare dintre noi institutii mediul academic sectorul privat cetateni pentru ca dincolo de aceasta mandrie nationala care este fireasca apartenenta la unesco inseamna respectarea unor reguli precum modificarea si introducerea in legislatia nationala a unor prevederi clare privind protejarea acestora tocmai pentru a acoperi acest vid legislativ in anul doua mii opt parlamentul romaniei a gasit necesara infiintarea comisiei permanente comune a camerei deputatilor si senatului pentru relatia cu unesco din care am onoarea sa fac parte in aceasta legislatura rolul nostru principal in toti acesti ani a fost identificarea neconcordantele legislative si remedierea lor dar si acela de a fi un element de legatura cu unesco si organismele sale de pe teritoriul romaniei trebuie insa mai multa aplecare asupra cadrului legislativ dublata de pragmatism si coordonare pentru ca timpul devine tot mai pretios iar anumite bunuri si obiective nu au timp sa astepte stimati colegi onorata asistenta suntem la finalul unui an cu o agenda incarcata pentru comisia unesco si principala concluzie este ca suntem departe de ceea ce ne am fi dorit important este ca acum putem vorbi deschis despre ce trebuie schimbat in numele comisiei parlamentare unesco imi propun sa incheiem acest an cu optimism si cu speranta ca vom continua sa facem echipa cu totii indiferent de partid de apartenenta politica pentru promovarea patrimoniului romanesc si ca va voi avea parteneri in continuare si vom gasi unii in altii si sprijin si suport anul doua mii douazeci si trei vine cu o alta agenda incarcata pentru romania cu alte provocari la care trebuie sa ne gandim constant si as zice e strategic pentru ca asa cum membrii comisiei o spun de fiecare data patrimoniul romanesc nu are culoare politica va multumesc ,"(1136.0, 1374.0)"
10,Doamna Alina-Ștefania Gorghiu:,13461,Domnul Liviu Brătescu:,15762, va multumesc la punctul doi sectiunea i avem o nota privind adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la zece noiembrie doua mii douazeci si doi a unei initiative legislative propunerea legislativa pentru completarea legii educatiei nationale unu doua mii unsprezece doamna presedinta monica anisie in acelasi timp inteleg ca a sustinut acest demers va multumim tare mult pentru efort va rog domnule senator aveti cuvantul ,"(1369.0, 5742.0)"
