,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 27 aprilie 2022,21, ,"(0.0, 9597.32)"
2,şedinţei Senatului din 27 aprilie 2022,21,S U M A R,63, ,"(0.0, 9597.32)"
3,S U M A R,63,S T E N O G R A M A,895, unu intrebari si interpelari doi trei doisprezece douazeci douazeci si unu douazeci si doi doi declaratii politice trei doisprezece douazeci douazeci si unu douazeci si doi trei aprobarea ordinii de zi si a programului de lucru douazeci si doi patru ora guvernului dezbateri politice cu participarea ministrului finantelor domnul douazeci si trei adrian caciu la solicitarea grupului parlamentar al uniunii salvati romania cu tema perspectiva deteriorarii puterii de cumparare a romanilor a finantelor publice si a echilibrelor macroeconomice ale romaniei nota pentru exercitarea de catre senatori a dreptului de sesizare a curtii patruzeci constitutionale asupra unei legi depuse la secretarul general al senatului conform prevederilor art cincisprezece alin din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(6080.28, 8453.32)"
4,S T E N O G R A M A,895,şedinţei Senatului din 27 aprilie 2022,916, ,"(0.0, 9597.32)"
5,şedinţei Senatului din 27 aprilie 2022,916,Domnul Robert-Marius Cazanciuc:,1173, sedinta a inceput la ora noua patruzeci si doi lucrarile sedintei au fost conduse de domnul robert marius cazanciuc vicepresedinte al senatului asistat de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(0.0, 9597.32)"
6,Domnul Robert-Marius Cazanciuc:,1173,Domnul Ion Mocioalcă:,1737, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi douazeci si sapte aprilie doua mii douazeci si doi conducerea fiind asigurata de vicepresedinte robert cazanciuc asistat de domnii senatori ion mocioalca si sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este repartizat pe grupurile parlamentare potrivit ponderii acestora pentru inceput invit la microfon pentru prezentarea intrebarii pe domnul senator ion mocioalca ,"(990.0, 1048.0)"
7,Domnul Ion Mocioalcă:,1737,Domnul Robert-Marius Cazanciuc:,1877, multumesc domnule presedinte daca tot nu ne aude nimeni atunci sa citesc eu o intrebare pentru domnul ministru ,"(1058.0, 2800.0)"
8,Domnul Robert-Marius Cazanciuc:,1877,Domnul Ion Mocioalcă:,1953, ne aude o tara intreaga domnule senator ,"(1066.0, 1066.0)"
9,Domnul Ion Mocioalcă:,1953,Domnul Robert-Marius Cazanciuc:,3210, constantin daniel cadariu pentru domnul ministru sorin mihai grindeanu si pentru domnul ministru ioan marcel bolos obiectul intrebarii turismul si antreprenoriatul turistic din zona orsova trebuie ajutate domnilor ministri detinatorii de ambarcatiuni turistice sau vapoare de croaziera pe dunare s au trezit cu un gard sudat in fata pontonului primarul le a interzis sa mai opereze acolo si i a mutat in alt loc insa si aici in fata malului este un zid pe care nu are nimeni voie sa l dea jos iar turistii care vor sa se urce in ambarcatiuni trebuie sa sara peste zid tot scandalul a pornit de la incidentul de anul trecut cand o ambarcatiune a spulberat un caiac cu sportivi hidroelectrica precizeaza ca cine construieste in zona ori sparge zidul incalca legea apelor avand in vedere ca orasul orsova are un imens potential turistic desi sunt doar putin peste douazeci de pensiuni va intreb domnilor ministri ce solutii aveti in vedere pentru a dezvolta infrastructura turistica cu pastrarea sigurantei si evitarea unor viitoare accidente ale vaporaselor de croaziera si cu respectarea legii apelor solicit raspunsul in scris sunt senator psd de caras severin ion mocioalca multumesc ,"(1069.0, 1153.0)"
10,Domnul Robert-Marius Cazanciuc:,3210,Domnul Claudiu-Marinel Mureșan:,3826, multumesc domnule senator sunt convins ca domnul grindeanu ne a auzit si daca nu ne a auzit sunt convins ca are cativa consilieri care ne urmaresc si i vor transmite pentru ca astazi avem un invitat special la ora ministrului pe domnul ministru caciu ministrul de finante o sa condensam putin intrebarile interpelarile si declaratiile politice pe ziua de astazi pentru a ne incadra in timp si a avea suficient ragaz pentru dezbateri in jurul declaratiilor domnului ministru o sa l invit la microfon pentru o declaratie politica pe domnul senator muresan ,"(1179.0, 1208.0)"
