,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,ședinței Senatului din 26 octombrie 2022,21, ,"(30.0, 7521.0)"
2,ședinței Senatului din 26 octombrie 2022,21,S U M A R,65, ,"(30.0, 7521.0)"
3,S U M A R,65,–,1674, unu intrebari si interpelari sase sapte zece unsprezece treisprezece douazeci si cinci treizeci si trei treizeci si patru doi declaratii politice sapte noua unsprezece treisprezece douazeci si cinci treizeci si trei treizeci si cinci patruzeci si sapte trei aprobarea modificarii ordinii de zi patruzeci si sapte patru dezbaterea si adoptarea proiectului de lege privind aprobarea ordonantei de cincizeci cincizeci si unu saptezeci urgenta a guvernului nr o suta treizeci doua mii douazeci si doi pentru modificarea si completarea legii nr o suta douazeci si unu doua mii paisprezece privind eficienta energetica doua mii douazeci si doi o mie doua sute unu ,"(3256.0, 3256.0)"
4,–,1674,–,1674,,"(30.0, 7521.0)"
5,–,1674,–,1674,,"(30.0, 7521.0)"
6,–,1674,–,1674,,"(30.0, 7521.0)"
7,–,1674,S T E N O G R A M A,10071, com din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(30.0, 7521.0)"
8,S T E N O G R A M A,10071,ședinței Senatului din 26 octombrie 2022,10092, ,"(30.0, 7521.0)"
9,ședinței Senatului din 26 octombrie 2022,10092,Domnul Virgil Guran:,10391, sedinta a inceput la ora noua treizeci si unu lucrarile sedintei au fost conduse de domnul virgil guran inlocuit de doamna alina stefania gorghiu vicepresedinti ai senatului asistati de domnul ion narcis mircescu si domnul sorin lavric secretari ai senatului ,"(30.0, 7521.0)"
10,Domnul Virgil Guran:,10391,Domnul Dănuț Bica:,10936, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi douazeci si sase octombrie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion mircescu si domnul senator sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora dau cuvantul domnului senator bica danut ,"(46.0, 64.0)"
