,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,2,şedinţei Senatului din 9 martie 2022,23, ,"(150.0, 7591.0)",150.0,7591.0
2,şedinţei Senatului din 9 martie 2022,23,S U M A R,67, ,"(150.0, 7591.0)",150.0,7591.0
3,S U M A R,67,S T E N O G R A M A,194, unu intrebari si interpelari doi doi declaratii politice douazeci si unu ,"(150.0, 7591.0)",150.0,7591.0
4,S T E N O G R A M A,194,şedinţei Senatului din 9 martie 2022,215, ,"(150.0, 7591.0)",150.0,7591.0
5,şedinţei Senatului din 9 martie 2022,215,Domnul Virgil Guran:,459, sedinta a inceput la ora noua treizeci si doi lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(1218.0, 1218.0)",1218.0,1218.0
6,Domnul Virgil Guran:,459,Domnul Claudiu-Marinel Mureșan:,1110, buna dimineata doamnelor si domnilor declar deschisa sesiunea de intrebari interpelari de astazi noua martie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion mocioalca si domnul senator sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora domnul muresan are interpelate da am inteles dau cuvantul domnului senator muresan claudiu marinel pentru a prezenta interpelarea ,"(1200.0, 1254.0)",1200.0,1254.0
7,Domnul Claudiu-Marinel Mureșan:,1110,Domnul Virgil Guran:,4892, va multumesc frumos domnule presedinte stimati colegi obiectul interpelarii pe care doresc s o prezint astazi se numeste transporturile non sumal stimate domnule ministru tanczos barna reglementarile ministerului mediului de fiecare data cand executa un transport surprinzator un astfel de transport facut de un profesionist este mult mai putin expus la frauda numita transport multiplu decat un transport realizat de un neprofesionist pe de alta parte un transportator care transporta lemn ca neprofesionist poate face oricate transporturi pe un aviz in perioada de valabilitate a avizului fiind extrem de greu de prins altfel decat in flagrant domnule ministru sumal doi zero aplicatia care da avize pentru profesionisti si pentru neprofesionisti ar trebui sa aiba si un contor care sa insumeze metri cubi astfel incat in momentul in care se ajunge la limita de douazeci m3 pe masina proprietarul mijlocului de transport sa fie avertizat si sa i se interzica sa mai incarce lemne timp de doisprezece luni mi au fost aduse la cunostinta cazuri din judetul ilfov in care douazeci de masini monitorizate au transportat sapte sute douazeci si sapte m3 adica aproape patruzeci de m3 de masina in numai doi luni asadar exista un numar foarte mare de transporturi efectuate de transportatori inregistrati ca neprofesionisti dar care au un beneficiu financiar prin vanzarea lemnului dupa toate probabilitatile si posibilitatile nefiscalizat ca atare domnule ministru va solicit analizarea listei de transportatori si de asemenea a bazei de date sumal pentru perioada unu ianuarie doua mii douazeci si unu treizeci si unu decembrie doua mii douazeci si unu sa actionati in sensul aplicarii cu strictete a prevederilor normei nr douazeci si cinci sase doua mii douazeci privitoare la impartirea transportatorilor in profesionisti si neprofesionisti atat pentru transportatorii exemplificati de noi cat si pentru cei care vor fi evidentiati ca urmare a analizei mentionate mai sus va rog de asemenea sa mi comunicati rezultatele analizei adica ce numar de transportatori au depasit limita de douazeci m3 in anul doua mii douazeci si unu desi transportau ca neprofesionisti si ultima solicitare sa mi comunicati care este planul de actualizare a aplicatiei sumal doi zero prin adaugarea acestui sistem de contorizare a cantitatilor transportate pentru a nu mai permite nerespectarea reglementarilor din perspectiva aceasta si implicit cum va actiona personalul silvic in scopul suplinirii lipsei functionalitatii in cauza din sumal doi zero va transmit spre exemplificare o arhiva cu documente si informatii legate de transporturile monitorizate impartite in foldere continand locatiile de unde se transporta in principal si numerele de inmatriculare ale autovehiculelor identificate de catre cetatenii care ne au transmis sesizari cu respect va solicit raspuns in scris cu stima claudiu muresan senator usr circumscriptia nr treizeci si patru sibiu va multumesc ,"(1353.0, 1511.0)",1353.0,1511.0
8,Domnul Virgil Guran:,4892,Domnul Vlad-Mircea Pufu:,5002, si eu multumesc domnule senator dau cuvantul domnului senator vlad pufu ,"(6148.0, 6153.0)",6148.0,6153.0
9,Domnul Vlad-Mircea Pufu:,5002,Domnul Virgil Guran:,7034, multumesc domnule presedinte obiectul interpelarii mele de astazi se refera la situatia personalului nedidactic din unitatile de invatamant domnule ministru ingrijitoarele de la gradinite bucataresele din cantinele scolare fochistii fac parte din personalul esential al scolilor si gradinitelor fara de care activitatea acestora nu ar fi posibila si totusi salarizarea acestei categorii profesionale nu i reflecta adevaratul rol in invatamantul romanesc fiecare persoana incadrata ca personal nedidactic castiga putin peste salariul minim pe economie respectiv aproape unu cinci sute de lei lunar in plus in timp ce alte categorii profesionale primesc bonuri de masa sau alte bonificatii personalul nedidactic a fost uitat la limita subzistentei cu aceleasi venituri in timp ce ale celorlalte categorii au crescut va reamintesc ca acesti angajati sunt cei care si gasesc cel mai usor un loc de munca in strainatate si multi au ales sa plece este motivul pentru care sindicatul invatamantului preuniversitar prof ion neacsu buzau sustine necesitatea acordarii sporului pentru conditii de munca pentru personalul nedidactic la fel cum se acorda si altor categorii profesionale asta ar insemna o crestere de sapte a salariului adica undeva la nouazeci de lei net salariat ca sa evitam depopularea acestei categorii profesionale sustin necesitatea cresterii veniturilor personalului nedidactic desconsiderata pe nedrept de aceea va rog sa ne comunicati daca veti lua in considerare propunerea venita din partea profesionistilor din sistemul sindicatului buzoian si daca veti face demersuri in acest sens si de asemenea va rog sa precizati daca aveti alte solutii in vedere pentru a creste asemenea veniturile acestei categorii profesionale insuficient retribuite mentionez ca doresc raspuns in scris va multumesc senator vlad mircea pufu ,"(1575.0, 1706.0)",1575.0,1706.0
10,Domnul Virgil Guran:,7034,Domnul Vlad-Mircea Pufu:,7114, multumesc domnule senator mai aveti inca una va rog ,"(1706.0, 1709.0)",1706.0,1709.0
