,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 14 iunie 2022,21, ,"(30.0, 4729.94)"
2,şedinţei Senatului din 14 iunie 2022,21,S U M A R,61, ,"(30.0, 4729.94)"
3,S U M A R,61,S T E N O G R A M A,2974, unu aprobarea ordinii de zi si a programului de lucru trei doi validarea unui mandat de senator si depunerea juramantului de credinta fata de patru tara si popor trei dezbaterea si adoptarea proiectului de hotarare privind contul de executie a sase bugetului senatului romaniei pe anul doua mii douazeci si unu patru aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unor opt initiative legislative cinci adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la noua si zece noua iunie doua mii douazeci si doi a unor initiative legislative sase dezbaterea si adoptarea proiectului de lege pentru completarea art unsprezece alin din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1410.94, 1415.94)"
4,S T E N O G R A M A,2974,şedinţei Senatului din 14 iunie 2022,2995, ,"(30.0, 4729.94)"
5,şedinţei Senatului din 14 iunie 2022,2995,Domnul Florin-Vasile Cîțu:,3251, sedinta a inceput la ora cincisprezece opt lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnul eugen pirvulescu si domnul ion narcis mircescu secretari ai senatului ,"(30.0, 4729.94)"
6,Domnul Florin-Vasile Cîțu:,3251,Domnul Cristian-Augustin Niculescu-Țâgârlaș:,5614, buna ziua dragi colegi buna ziua doamnelor si domnilor senatori declar deschisa sedinta plenului senatului de astazi paisprezece iunie doua mii douazeci si doi si va anunt ca din totalul de o suta treizeci si patru de senatori pana in acest moment si au inregistrat prezenta la lucrari un numar de saizeci si opt si inca mai semneaza sedinta este condusa de subsemnatul presedinte al senatului asistat de domnul senator eugen pirvulescu si de domnul senator ion narcis mircescu secretari ai senatului ordinea de zi pentru sedinta plenului de astazi a fost distribuita daca nu sunt comentarii va rog va rog putina atentie si va rog sa va introduceti si cartelele de vot daca nu sunt comentarii va supun votului ordinea de zi va rog sa votati cu patruzeci si sase de voturi pentru domnul robert cazanciuc doamna nicoleta pauliuc domnul mircescu si domnul bica nu au cartela ok facem asa facem o lista cu persoanele care nu au cartela si o sa le citesc pe toate dar cu patruzeci si patru de voturi pentru patruzeci si sase de voturi pentru ordinea de zi a fost votata va rog anuntati secretariatul parlamentului anuntati i pe colegii mei cine nu are cartela si va vota cu mana ridicata sa pot sa va citesc numele la inceput o data pentru stenograma si dupa aceea o sa va luam in calcul programul de lucru pentru aceasta zi propun lucrari in plenul senatului dezbateri si dupa aceea vot final pana la punctul zece inclusiv al ordinii de zi de astazi deci sa nu facem pe timp sa facem pe puncte deci propun pana la punctul zece inclusiv dezbateri si vot final va rog votati cu saizeci si sapte de voturi pentru si o abtinere programul de lucru a fost votat stimati colegi la punctul unu de la sectiunea i a ordinii de zi de astazi avem validarea unui mandat de senator si depunerea juramantului de credinta fata de tara si popor stimati colegi va reamintesc ca senatul a procedat la vacantarea unui mandat de senator in circumscriptia electorala nr douazeci si patru iasi ca urmare a demisiei doamnei senator laura iuliana scantei il invit la microfon pe reprezentantul comisiei juridice pentru a prezenta raportul comisiei si proiectul de hotarare privind validarea unui mandat de senator microfonul sapte ,"(865.0, 994.0)"
7,Domnul Cristian-Augustin Niculescu-Țâgârlaș:,5614,Domnul Florin-Vasile Cîțu:,6837, buna ziua stimati colegi raport privind validarea mandatului de senator al domnului liviu bratescu biroul permanent in sedinta din paisprezece iunie doua mii douazeci si doi a luat act de documentele trimise de presedintele pnl domnul nicolae ionel ciuca in sensul solicitarii validarii mandatului de senator al domnului liviu bratescu supleant pe lista de candidati pentru alegerea senatului in circumscriptia electorala nr douazeci si patru judetul iasi ca urmare a vacantarii locului de senator ales in aceasta circumscriptie intrucat mandatul de senator al doamnei laura iuliana scantei a incetat prin demisie incepand cu zece iunie doua mii douazeci si doi astfel biroul permanent a investit comisia juridica sa intocmeasca un raport de validare a mandatului de senator al domnului liviu bratescu in sedinta din paisprezece iunie doua mii douazeci si doi comisia juridica a luat spre examinare documentele trimise de biroul permanent si analizand legislatia aferenta a hotarat in unanimitate de voturi ale membrilor prezenti sa adopte favorabil validarea mandatului de senator al domnului liviu bratescu supleant pe lista candidatilor pentru alegerea senatului in circumscriptia electorala nr douazeci si patru iasi va multumesc ,"(1000.0, 1068.0)"
8,Domnul Florin-Vasile Cîțu:,6837,Domnul Liviu Brătescu:,8099, multumesc daca sunt interventii in legatura cu raportul comisiei daca nu sunt va supun votului dumneavoastra raportul si proiectul de hotarare privind validarea unui mandat de senator va rog sa votati saptezeci si noua de voturi pentru raportul a fost adoptat stimati colegi va reamintesc ca in conformitate cu prevederile art treisprezece din regulamentul senatului senatorii a caror alegere a fost validata depun juramantul de credinta fata de tara si popor in conditiile prevazute de lege refuzul de a depune juramantul atrage pierderea mandatului declar deschisa sedinta solemna a senatului consacrata depunerii juramantului de credinta fata de tara si popor de catre domnul liviu bratescu va rog sa va ridicati pentru intonarea imnului national doamnelor si domnilor senatori in conformitate cu prevederile art trei din legea nr nouazeci si sase doua mii sase privind statutul deputatilor si al senatorilor republicata juramantul scris se rosteste solemn se semneaza si se depune la presedintele senatului spre pastrare juramantul se rosteste cu mana dreapta pe constitutie si biblie il invit la microfonul central pe domnul liviu bratescu pentru a depune juramantul ,"(1068.0, 1129.0)"
9,Domnul Liviu Brătescu:,8099,Domnul Florin-Vasile Cîțu:,8563, eu liviu bratescu in calitate de senator ales in circumscriptia electorala nr douazeci si patru iasi jur credinta patriei mele romania jur sa respect constitutia si legile tarii jur sa apar democratia drepturile si libertatile fundamentale ale cetatenilor suveranitatea independenta unitatea si integritatea teritoriala a romaniei jur sa mi indeplinesc cu onoare si fidelitate mandatul incredintat de popor asa sa ma ajute dumnezeu ,"(1263.18, 1292.94)"
10,Domnul Florin-Vasile Cîțu:,8563,Domnul Eugen Pîrvulescu (de la prezidiu):,9074, felicitari stimate coleg ati gasit o deci doar domnul ovidiu puiu de la psd pnl doamna nicoleta pauliuc si domnul adrian hatos si de la usr domnul narcis mircescu si stefan palarie ,"(1340.94, 1346.94)"
