,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 28 martie 2022,21, ,"(240.0, 8929.0)",240.0,8929.0
2,şedinţei Senatului din 28 martie 2022,21,S U M A R,62, ,"(240.0, 8929.0)",240.0,8929.0
3,S U M A R,62,–,4230, unu aprobarea ordinii de zi si a programului de lucru patru douazeci si doi doi aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unei cinci initiative legislative trei aprobarea transmiterii catre camera deputatilor ca prima camera sesizata a cinci unor initiative legislative patru adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la sase douazeci si trei si douazeci si cinci martie doua mii douazeci si doi a unor initiative legislative cinci dezbaterea si adoptarea proiectului de lege pentru aprobarea contractului de sase zece patruzeci si patru finantare nr cinci sute saptezeci si cinci doua mii treisprezece in ceea ce priveste cerintele referitoare la riscul de credit riscul de ajustare a evaluarii creditului riscul operational riscul de piata si in ceea ce priveste pragul minim al modelelor interne ,"(7288.0, 8598.0)",7288.0,8598.0
4,–,4230,–,4230,,"(240.0, 8929.0)",240.0,8929.0
5,–,4230,S T E N O G R A M A,5051, com din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(8690.0, 8690.0)",8690.0,8690.0
6,S T E N O G R A M A,5051,şedinţei Senatului din 28 martie 2022,5072, ,"(240.0, 8929.0)",240.0,8929.0
7,şedinţei Senatului din 28 martie 2022,5072,Domnul Virgil Guran:,5311, sedinta a inceput la ora cincisprezece trei lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnii ion mocioalca si sorin lavric secretari ai senatului ,"(240.0, 8929.0)",240.0,8929.0
8,Domnul Virgil Guran:,5311,Domnul Virgil Guran:,5311,,"(240.0, 8929.0)",240.0,8929.0
9,Domnul Virgil Guran:,5311,Domnul György Attila – secretar de stat la Ministerul Finanțelor:,10524, stimati colegi va rog sa introduceti cartelele de vot sa vedem daca avem minimumul necesar prezent domnul virgil guran buna ziua stimati colegi declar deschisa sedinta plenului senatului de astazi douazeci si opt martie doua mii douazeci si doi si va anunt ca din totalul de o suta treizeci si sase de senatori pana in acest moment si au inregistrat prezenta la lucrari un numar de saizeci si unu de senatori sedinta este condusa de subsemnatul virgil guran vicepresedinte al senatului asistat de domnul senator ion mocioalca si domnul senator sorin lavric secretari ai senatului ordinea de zi pentru sedinta plenului de astazi a fost distribuita daca nu sunt comentarii o sa supunem la vot ordinea de zi va rog sa pregatiti cartelele inca o data putem sa incepem da va rog sa votati prezenti cincizeci si unu pentru patruzeci si opt nu votez trei ordinea de zi a fost aprobata o sa incercam sa mergem intr un ritm alert deci rugamintea e sa fiti atenti putin cu votul mai ales in prima parte pentru ca avem mai multe lucruri de votat in prima sectiune programul de lucru pentru astazi ora cincisprezece zero lucrari in plenul senatului dezbaterea initiativelor legislative inscrise pe ordinea de zi ora saisprezece zero vot final sunt interventii in legatura cu programul nu sunt daca nu sunt interventii supun votului programul de lucru prezentat va rog sa votati prezenti cincizeci si sapte pentru cincizeci si sase nu votez unul programul de lucru a fost adoptat stimati colegi trecem la sectiunea i a ordinii de zi la punctul unu avem aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unei initiative legislative stimati colegi potrivit art nouazeci si trei alin declar deschise dezbaterile generale asupra proiectului de lege dau cuvantul reprezentantului guvernului domnul attila gyorgy secretar de stat in ministerul finantelor va rog ,"(724.0, 1075.0)",724.0,1075.0
10,Domnul György Attila – secretar de stat la Ministerul Finanțelor:,10524,Domnul Virgil Guran:,10963, multumesc frumos proiectul de lege vizeaza aprobarea contractului de finantare cu banca europeana de investitii pentru spitalul regional cluj o investitie de aproximativ cinci sute treizeci si noua sase milioane de euro din care bei va acoperi pana la trei sute cinci milioane de euro va rugam sa fiti de acord cu aprobarea contractului de finantare prevazut in proiectul de lege multumesc ,"(570.0, 722.0)",570.0,722.0
