,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 2 martie 2022,21, ,"(120.0, 7676.94)"
2,şedinţei Senatului din 2 martie 2022,21,S U M A R,61, ,"(120.0, 7676.94)"
3,S U M A R,61,S T E N O G R A M A,2893, unu intrebari si interpelari trei o mie sase sute treizeci si cinci patruzeci si doi doi declaratii politice saisprezece trei mii patru sute patruzeci si doi trei nota pentru exercitarea de catre senatori a dreptului de sesizare a curtii patruzeci si doi patruzeci si patru constitutionale asupra legilor depuse la secretarul general al senatului conform optzeci si trei optzeci si patru prevederilor art cincisprezece alin saptezeci si doi treisprezece apel nominal telefonic saptezeci si doi ,"(5771.94, 5917.94)"
4,S T E N O G R A M A,2893,şedinţei Senatului din 2 martie 2022,2914, ,"(120.0, 7676.94)"
5,şedinţei Senatului din 2 martie 2022,2914,Domnul Virgil Guran:,3244, sedinta a inceput la ora noua treizeci si doi lucrarile sedintei au fost conduse de domnul virgil guran inlocuit de doamna alina stefania gorghiu vicepresedinti ai senatului asistati de domnul ion mocioalca inlocuit de domnul ion narcis mircescu si domnul sorin lavric secretari ai senatului ,"(120.0, 7676.94)"
6,Domnul Virgil Guran:,3244,Domnul Maricel Popa:,3838, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi doi martie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion mocioalca si domnul senator sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupuri parlamentare potrivit ponderii acestora dau cuvantul domnului senator popa maricel si l rog sa prezinte si intrebarea si interpelarea ,"(5660.7, 5664.7)"
7,Domnul Maricel Popa:,3838,Domnul Virgil Guran:,7170, buna ziua domnule presedinte buna ziua stimati colegi am o interpelare adresata domnului ministru dan vilceanu ministrul investitiilor si proiectelor europene proiecte finantate din fonduri europene in exercitiul financiar doua mii paisprezece doua mii douazeci domnule ministru iasiul este unul dintre judetele care au accesat foarte multe fonduri europene in exercitiul financiar doua mii paisprezece doua mii douazeci in special datorita preocuparii deosebite a administratiei social democrate de la consiliul judetean conform datelor publicate pe site ul ministerului judetul iasi este pe locul trei intr un clasament al sumelor contractate cu sapte sase sute nouazeci si unu de miliarde de lei sunt in total trei sute paisprezece proiecte care au fost deja finalizate sau sunt in derulare dintre acestea optsprezece sunt contractate prin programul operational pentru infrastructura mare si daca da va rog sa transmiteti cand se va intampla acest lucru de asemenea daca raspunsul va fi negativ va rog sa detaliati care sunt motivele pentru care se mentine decizia adoptata la sfarsitul anului precedent solicit raspuns scris cu deosebita consideratie senator psd de iasi maricel popa va multumesc ,"(5660.7, 7038.94)"
8,Domnul Virgil Guran:,7170,Domnul Dorinel Cosma:,7284, multumesc domnule senator invit la microfon pe domnul senator cosma dorinel ,"(492.0, 7238.94)"
9,Domnul Dorinel Cosma:,7284,Domnul Virgil Guran:,9811, buna ziua domnule presedinte de sedinta buna ziua stimati colegi astazi voi prezenta o interpelare catre domnul prim ministru nicolae ionel ciuca obiectul interpelarii situatia refugiatilor ucraineni in romania domnule prim ministru in contextul agresiunii ruse aflate in plina desfasurare a razboiului de agresiune declansat de rusia impotriva vecinilor nostri ucraineni razboi care se desfasoara in proximitatea frontierelor tarii noastre si care produce o adevarata drama umanitara aproximativ patru sute de civili fiind ucisi pana in prezent multi cetateni ai ucrainei atat ucraineni cat si de alte nationalitati se refugiaza in romania pentru a fugi din calea acestui conflict militar nedrept si pentru a si salva viata in acest sens guvernul pe care l conduceti trebuie sa se mobilizeze pentru a facilita accesul refugiatilor ucraineni pe teritoriul romaniei si pentru a le oferi suportul necesar conform organizatiei natiunilor unite din data de douazeci si patru februarie pana in prezent au fugit din calea razboiului aproximativ cinci sute douazeci zero de persoane iar numarul acestora este in continua crestere estimandu se ca se va ajunge la patru milioane de refugiati romania este tara nato cu cea mai lunga frontiera cu ucraina sase sute patruzeci si noua patru kilometri astfel de la inceputul invaziei armatei ruse in ucraina saptezeci zero de persoane s au refugiat in tara noastra la punctele de trecere a frontierei de stat din ucraina catre romania formandu se cozi kilometrice de refugiati la vama siret fluxul foarte mare de persoane care vor sa paraseasca teritoriul ucrainei a generat intarzieri semnificative si chiar blocaje astfel societatea civila a reclamat ca sute de ucraineni majoritatea femei si copii sunt tinuti ore intregi pentru formalitati si a solicitat guvernului sa infiinteze de urgenta centre mobile de inregistrare pentru refugiatii din ucraina avand in vedere cele expuse mai sus va rog sa mi raspundeti cu celeritate la urmatoarele intrebari unu care sunt masurile concrete pe care guvernul romaniei le va intreprinde pentru ca refugiatii sa primeasca cu promptitudine suportul necesar si pentru facilitarea accesului acestora pe teritoriul romaniei doi cand preconizati ca vor fi infiintate centrele mobile de inregistrare pentru refugiatii din ucraina trei cate centre pentru refugiati exista in momentul actual pe teritoriul romaniei va solicit raspuns scris cu deosebita consideratie senator cosma dorinel botosani va multumesc ,"(2058.0, 7038.94)"
10,Domnul Virgil Guran:,9811,Domnul Dănuț Bica:,9934, va multumesc si eu domnule senator il invit la microfon pe domnul senator bica danut ,"(492.0, 7238.94)"
11,Domnul Dănuț Bica:,9934,Domnul Virgil Guran:,14618, multumesc domnule presedinte de sedinta intrebare adresata domnului barna tanczos ministrul mediului apelor si padurilor obiectul intrebarii regularizarea paraielor bascov budeasa si carcinov din judetul arges stimate domnule ministru lucrarile de regularizare a paraielor bascov budeasa si carcinov reprezinta cateva dintre urgentele investitionale din domeniul hidrografic la nivelul judetului arges cu impact major in ceea ce priveste protectia constructiilor si terenurilor agricole si siguranta populatiei din zonele respective pentru sustinerea celor mentionate anterior va informez ca in luna iulie doua mii paisprezece pe teritoriul comunei bascov situata in vecinatatea municipiului pitesti ca urmare a ploilor abundente apele au inundat circa trei sute saizeci de gospodarii iar viitura a determinat deraierea unui tren de persoane comuna bascov a fost afectata de inundatii si in anii doua mii cinci si doua mii nouasprezece iar gospodariile cetatenilor din localitatile strabatute de aceste cursuri de apa sunt puse in pericol de fiecare data cand in zona se inregistreaza ploi torentiale in consecinta avand in vedere importanta deosebita a obiectivelor de investitii mentionate anterior va rog ca in completare la raspunsurile pe care le am primit din partea ministerului mediului apelor si padurilor la intrebarile mele pe aceeasi tema din ultimii cinci ani sa mi comunicati care este stadiul executiei lucrarilor raportat la calendarul asumat din ce motive a fost intarziata realizarea acestora si care este termenul prevazut pentru finalizarea proiectelor respective solicit raspuns scris va multumesc cu deosebita consideratie danut bica senator pnl de arges interpelare adresata domnului alexandru rafila ministrul sanatatii obiectul interpelarii posibilitatea majorarii cifrelor de scolarizare pentru studii de licenta la universitatile de medicina si a numarului de posturi de rezidentiat incepand cu anul de invatamant doua mii douazeci si doi doua mii douazeci si trei stimate domnule ministru de la aderarea tarii noastre la uniunea europeana si pana in prezent numarul medicilor si asistentilor medicali care au parasit romania si profeseaza in alte state ale uniunii a ajuns potrivit evaluarilor colegiului medicilor din romania la nivelul zecilor de mii chiar daca adoptarea legii cadru nr o suta cincizeci si trei doua mii saptesprezece privind salarizarea personalului platit din fonduri publice a avut ca efect o majorare substantiala a castigurilor salariale din sistemul public de sanatate migratia medicilor bine pregatiti nu a incetat ci doar s a atenuat drept urmare romania a ajuns in situatia de a se confrunta cu un deficit major atat de medici specialisti cat si de medici de familie deficit care risca sa ia amploare in urmatorii ani totodata incepand cu anul doua mii douazeci guvernele liberale au deblocat si accelerat construirea spitalelor regionale de mare capacitate precum si extinderea unor sectii ale spitalelor deja existente unitati sanitare care odata finalizate vor trebui incadrate cu personal de specialitate in concluzie intregul sistem public de sanatate din tara noastra va avea nevoie de personal medical suplimentar pe termen mediu si lung care nu va putea fi asigurat decat prin majorarea cifrelor de scolarizare numarul semnificativ de absolventi din ultimii ani ai universitatilor de medicina din romania nu poate compensa acest necesar in conditiile in care ponderea studentilor straini care se pregatesc in cadrul acestora este una semnificativa iar cei mai multi dintre ei se intorc in tarile de origine dupa finalizarea studiilor avand in vedere cele prezentate anterior va solicit urmatoarele precizari unu cati medici romani au plecat din tara in ultimii cincisprezece ani doi care era deficitul de personal medical la nivel national la data de treizeci si unu decembrie doua mii douazeci si unu pe fiecare tip de specializare medicala in parte dar la nivelul judetului arges trei care era deficitul de medici de familie la nivel national la data de treizeci si unu decembrie doua mii douazeci si unu si cate localitati erau afectate de aceasta situatie nedorita dar la nivelul judetului arges patru pentru acoperirea necesarului de medici din sistemul sanitar romanesc ati luat in considerare posibilitatea de a propune majorarea cifrelor de scolarizare repartizate universitatilor de medicina si a numarului de posturi pentru rezidenti incepand cu anul de invatamant doua mii douazeci si doi doua mii douazeci si trei cinci cum intentionati sa stimulati absolventii universitatilor de medicina pentru a se orienta in cariera catre specializarile la care sistemul nostru sanitar inregistreaza deficit de personal solicit raspuns in scris va multumesc cu deosebita consideratie danut bica senator pnl de arges ,"(492.0, 7676.94)"
