,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 7 martie 2022,21, ,"(0.0, 11824.62)"
2,şedinţei Senatului din 7 martie 2022,21,S U M A R,61, ,"(0.0, 11824.62)"
3,S U M A R,61,S T E N O G R A M A,7449, unu alocutiunea doamnei senator alina stefania gorghiu pe tema egalitatii de gen in patru romania precum si a masurilor legislative adecvate asigurarii unei reprezentari de gen echilibrate in procesul decizional politic alocutiuni ale grupurilor parlamentare doi aprobarea transmiterii catre camera deputatilor ca prima camera sesizata a unor unsprezece doisprezece initiative legislative patruzeci si noua cincizeci trei aprobarea solicitarii de retragere din procesul legislativ a unor initiative legislative doisprezece cincizeci patru dezbaterea si adoptarea proiectului de lege pentru aprobarea ordonantei de urgenta doisprezece treisprezece a guvernului nr nouazeci si noua doua mii douazeci si unu privind modificarea unor acte normative din domeniul cincizeci invatamantului precum si pentru modificarea si completarea legii nr cincizeci si cinci doua mii douazeci privind unele masuri pentru prevenirea si combaterea efectelor pandemiei de covid nouasprezece din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata treizeci si sapte apel nominal telefonic cincizeci si opt ,"(10068.44, 10078.44)"
4,S T E N O G R A M A,7449,şedinţei Senatului din 7 martie 2022,7470, ,"(0.0, 11824.62)"
5,şedinţei Senatului din 7 martie 2022,7470,Doamna Alina-Ștefania Gorghiu:,7746, sedinta a inceput la ora cincisprezece sase lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnul eugen pirvulescu si domnul ion narcis mircescu secretari ai senatului ,"(9101.0, 9101.0)"
6,Doamna Alina-Ștefania Gorghiu:,7746,Doamna Anca Dana Dragu:,13514, stimati colegi o sa va rog sa va asezati in banci pentru a putea incepe sedinta plenului de astazi doamnelor si domnilor senatori dati mi voie sa declar deschisa sedinta plenului senatului de astazi sapte martie doua mii douazeci si doi voi conduce aceasta sedinta in calitate de vicepresedinte al senatului asistata de domnii senatori eugen pirvulescu si narcis mircescu secretari ai senatului ordinea de zi pentru sedinta plenului de astazi si programul de lucru stabilite de biroul permanent al senatului si comitetul liderilor grupurilor parlamentare au fost distribuite si afisate pe pagina de internet a senatului stimati colegi senatori primul punct votat de bp si de comitetul liderilor pentru ordinea de zi este o alocutiune pe tema egalitatii de gen in romania dat fiind faptul ca maine este data de opt martie precum si a masurilor legislative adecvate asigurarii unei reprezentari de gen echilibrate in procesul decizional politic o sa va rog sa mi permiteti din partea grupului pnl sa cobor la microfonul central pentru a avea aceasta interventie din partea grupurilor parlamentare oricine doreste sa aiba o interventie este invitat sa o faca stimati colegi senatori maine este asa cum stim ziua internationala a femeii este data de opt martie si la fel ca si dumneavoastra mi as fi dorit sa sarbatorim aceasta zi intr o europa dominata de pace si nu in acest teatru al absurdului creat de regimul criminal de la kremlin dar sunt vremuri in care vedem cum femeile ucrainene lupta cot la cot cu barbatii pentru libertatea tarii lor vedem cum curajul acestor femei nu este suficient omagiat iar interventia mea de astazi la plenul la microfonul din plenul senatului are si aceasta menire sa aduc un omagiu celor care se sacrifica in ucraina alaturi de copiii lor alaturi de sotii lor pentru libertatea oamenilor din ucraina tot aceste femei si nu sunt deloc putine si multe altele dovedesc cat de aberante sunt ideile misoginismului vechi de mii de ani a fost nevoie de mai bine de un secol de progres social si politic pentru a arunca la gunoi teorii precum inferioritatea intelectuala a femeii sau ca rolul traditional al ei este acela de a fi la cratita de a avea grija de casa si de copii exclusiv sau cea legata de lozinca secolului xix potrivit careia femeile nu fac armata asa ca n au de ce sa aiba drepturi politice stimati colegi senatori daca vrem sa avem o societate moderna daca vrem sa avem o societate justa trebuie sa renuntam sa tratam egalitatea de gen ca un standard formal pentru ca realitatea asta este astazi in romania tratam egalitatea de gen exclusiv ca pe o formalitate nu crede aproape nimeni in ea daca tindem catre o democratie puternica avem obligatia sa actionam si avem multi pasi de facut ca sa ajungem unde dorim si putem sa incepem astazi prin interventiile pe care le avem in plen sa punem prima caramida la realizarea la modul foarte serios a egalitatii de gen vreau sa cred ca nu mai confirmam de acum incolo acele estimari triste care anticipeaza urmatorul lucru ca daca tinem ritmul actual vom avea egalitate de gen stiti cand abia peste saptezeci si cinci de ani in romania cifrele sunt clare prapastia dintre realitatea politica romaneasca si situatia la nivel european se largeste doar saptesprezece procente femei deputate si senatoare in parlamentul romaniei in vreme ce media parlamentelor nationale din uniunea europeana este de treizeci si noua cinci asa arata rezultatul ultimelor alegeri generale din romania desi in urma cu patru ani procentul femeilor din parlament atingea nouasprezece am regresat si am ajuns in situatia in care guvernul romaniei are doar o femeie atunci cand cincizeci mai bine de cincizeci din populatia unei tari este subreprezentata in cel mai important si valoros exercitiu democratic anume procesul decizional politic inseamna ca avem o democratie schioapa sa ne reamintim si faptul ca romania ocupa locul douazeci si cinci in topul european al egalitatii de gen si ca in clasamentul global gender gap index tara noastra ocupa locul o suta douazeci si noua din o suta cincizeci si cinci si cred eu ca nu merita sa mai mentionez alte statistici pentru ca romania sta lamentabil efectiv la acest capitol concluzia este una pentru care pledez si eu si foarte multi colegi rationali nu doar din politica din intreaga societate politica romaneasca ar arata mult mult mai bine si mult mai sanatos si ar avea multe de castigat daca n ar exista aceasta discriminare de gen ca atare stimati colegi senatori va propun si solutia solutia este schimbarea legislatiei electorale mai multe femei pe listele electorale si pe locuri eligibile mai multe femei in parlament nu inventez roata nici eu nici colegii mei care vor semna aceasta initiativa sunt peste saizeci si de state cred ca sunt saizeci si sase de state exact din intreaga lume care confruntandu se cu aceasta problema au reglementat cota de gen pentru listele electorale si de aceea vreau sa va invit pe toti sa semnati alaturi de mine alaturi de colegele mele din usr plus usr fara plus ca nu mai sunteti plus alaturi de colegii din psd colegele din psd aceasta initiativa parlamentara aceasta initiativa legislativa de modificare a legii nr doua sute opt pentru alegerea senatului si a camerei deputatilor precum si pentru organizarea si functionarea autoritatii electorale permanente pentru introducerea cotelor de gen va invit pe toti alaturi de noi sa stabilim un principiu care va face romania sa arate ca o tara europeana multumesc tuturor va rog sa imi permiteti din partea grupului usr s o invit la microfon pe doamna senator anca dragu si imediat din partea grupului aur o s o invit pe doamna senator boanca la cuvant ,"(0.0, 482.0)"
7,Doamna Anca Dana Dragu:,13514,Doamna Alina-Ștefania Gorghiu:,16035, va multumesc doamna presedinta buna ziua stimati colegi senatori stimate doamne senatoare iata ca suntem astazi in fata unei legi unei initiative legislative care incearca sa indrepte o situatie o anomalie din societate si anume reprezentarea femeilor in politica respectiv in parlamentul romaniei acest proiect a inceput de multe luni si stiu ca doamna vicepresedinta gorghiu a lucrat la acest proiect chiar de mai multi ani si mi ar placea ca acum acest proiect sa si gaseasca sustinere si toti sa fie o lege care sa aiba sa treaca cu unanimitate sau cu o majoritate extrem de confortabila pentru ca lipsa femeilor din parlament si din nivelul decizional inseamna ca o serie de probleme care tin de universul femeilor nu sunt aduse in discutie atunci cand vine vorba despre politici publice de asemenea multe aspecte care tin de cresterea copiilor de educatia copiilor pentru ca sunt aspecte pe care noi ca mame ca femei le vedem le vedem mai bine putem fi mai empatice cu aceste subiecte si de aceea este normal ca in formularea acestor politici si in procesul decizional femeile sa fie reprezentate in mod corespunzator maine este opt martie in saptamana aceasta in saptamana in jurul zilei de opt martie sunt foarte multe emisiuni interviuri cu femei care au pozitii importante in statul roman sau care au performante deosebite in meserii foarte grele dar dupa aceea in celelalte zile ale anului in celelalte saptamani acest interes pentru activitatea femeilor scade foarte mult si as face un apel la dumneavoastra sa ne uitam zi de zi la ceea ce fac femeile cum contribuie in societatea romaneasca nu numai de opt martie si in saptamana zilei de opt martie si stimati colegi senatori sa avem un parteneriat normal suntem la fel suntem complementari si dorim cu totii acelasi lucru o viata mai buna si pentru noi si pentru copiii nostri si o zi de maine mai buna as incheia prin a va spune ca in calitate de presedinta a comisiei pentru drepturile omului egalitate de sanse culte si minoritati sustin aceasta lege si voi organiza dezbateri importante pe aceasta initiativa legislativa in cadrul comisiei si va astept pe fiecare dintre dumneavoastra care doreste sa contribuie la dezbatere in acest proces ce demareaza chiar astazi inca o data stimati colegi va rugam sa sustineti aceasta initiativa legislativa si sa nu va fie teama sa impartiti puterea cu noi multumesc ,"(500.0, 716.0)"
8,Doamna Alina-Ștefania Gorghiu:,16035,Doamna Rodica Boancă:,16250, multumim din partea grupului aur o invit la microfon pe doamna senator boanca daca din partea grupului psd doreste cineva sa ia cuvantul doamna cretu imediat dupa va rog ,"(734.0, 11164.62)"
9,Doamna Rodica Boancă:,16250,Doamna Alina-Ștefania Gorghiu:,18346, multumesc doamna presedinta de sedinta onorat prezidiu stimati colegi pentru ca feminitatea se impleteste cu sensibilitatea poetica voi incepe discursul meu de astazi prin a recita spune cateva versuri din poemul cantec femeiesc al lui adrian paunescu asa e mama si a fost bunica asa suntem femei langa femei parem nimic si nu nsemnam nimica doar niste ele ce ingrijesc pe ei femeile nasc lumea multumesc nasc lumea si tot ele o educa in aceste timpuri tulburi vedem tot mai multe femei care pun umarul alaturi de barbati in toate domeniile femeia mama femeia sotie femeia fiica femeia sora au traversat milenii intregi pentru a reitera de fiecare data ca ea femeia face legatura intre traditie si modernitate de aceea avem astazi femeia medic femeia inginer femeia arhitect femeia mecanic femeia sofer de tir toate sunt femei puternice toate au grija de ceilalti si in acelasi timp toate se confrunta cu foarte multe probleme din partea societatii va trebui sa acordam o importanta mai mare rolului femeilor in societate si protectiei lor deoarece de prea multe ori tot femeile cele capabile de cele mai mari sacrificii sunt si victime ale violentei sau hartuirii rolul femeilor in politica este acela de a empatiza cu aceste categorii vulnerabile ale societatii cum ar fi copiii femeile batranii de aceea si nu numai in politica numarul femeilor trebuie sa creasca de ce nu ar trebui sa fie chiar o paritate dar asta poate fara sa ne atingem de zona ideologiei de gen femeia nu este vulnerabila pentru ca este slaba fizic sau emotional ci din cauza unor prejudecati si a unor vicii sociale colective care imping imaginea femeii catre o zona obscura iar acestea trebuie sa fie eliminate fie prin educatie fie prin legi aspre contra agresorilor in incheiere vreau sa luati in calcul faptul ca statul are datoria de a proteja si sustine maternitatea si siguranta femeilor pentru a avea maine o societate sanatoasa va multumesc ,"(749.0, 908.0)"
10,Doamna Alina-Ștefania Gorghiu:,18346,Doamna Gabriela Crețu:,18498, multumesc doamna senator sunteti invitata doamna senator cretu la microfonul central pentru interventie va rog ,"(908.0, 7351.0)"
