,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 15 iunie 2022,21, ,"(90.0, 6187.56)",90.0,6187.56
2,şedinţei Senatului din 15 iunie 2022,21,S U M A R,61, ,"(90.0, 6187.56)",90.0,6187.56
3,S U M A R,61,S T E N O G R A M A,9074, unu intrebari si interpelari cinci opt paisprezece douazeci si unu treizeci si patru treizeci si cinci doi declaratii politice opt paisprezece douazeci si unu treizeci si patru treizeci si cinci trei aprobarea ordinii de zi si a programului de lucru treizeci si cinci treizeci si sase treizeci si sase treizeci si sapte patru aprobarea unor modificari in componenta nominala a comisiilor permanente treizeci si sase treizeci si sapte ale senatului informare privind componenta nominala a biroului de conducere al unei comisii permanente a senatului cinci domnul senator cosmin marian poteras informeaza plenul senatului asupra treizeci si sase demisiei sale din grupul parlamentar al usr urmand sa activeze ca senator neafiliat grupurilor parlamentare sase moment de reculegere in memoria lui mihai eminescu poetul national al treizeci si sapte romaniei prozator si jurnalist sapte dezbaterea si adoptarea proiectului de lege pentru modificarea si completarea treizeci si opt treizeci si noua saizeci si sapte legii nr trei sute treizeci si cinci doua mii treisprezece privind efectuarea stagiului pentru absolventii de invatamant superior o suta sapte final ,"(90.0, 6187.56)",90.0,6187.56
4,S T E N O G R A M A,9074,ședinței Senatului din 15 iunie 2022,9095, ,"(90.0, 6187.56)",90.0,6187.56
5,ședinței Senatului din 15 iunie 2022,9095,Domnul Virgil Guran:,9339, sedinta a inceput la ora noua treizeci lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(90.0, 6187.56)",90.0,6187.56
6,Domnul Virgil Guran:,9339,Domnul Claudiu-Marinel Mureșan:,9926, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi cincisprezece iunie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator sorin lavric secretar si domnul ion mocioalca secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora incepem cu interpelarile si dau cuvantul domnului senator muresan claudiu marinel ,"(420.0, 476.0)",420.0,476.0
7,Domnul Claudiu-Marinel Mureșan:,9926,Domnul Virgil Guran:,13991, va multumesc frumos domnule presedinte buna ziua doamnelor si domnilor senatori as vrea sa dau citire unei interpelari adresate prim ministrului romaniei domnului nicolae ciuca domnule prim ministru doresc sa va aduc in atentie necesitatea clarificarii unor aspecte privind persoanele salariate care s au autorecenzat prin intermediul internetului si au dreptul la o zi libera platita de catre angajator masura adoptata in scopul incurajarii utilizarii cu predilectie a acestei metode ordonanta de urgenta nr nouasprezece din patru februarie doua mii douazeci reglementeaza organizarea si desfasurarea recensamantului populatiei si locuintelor din romania de la sfarsitul anului doua mii douazeci si unu recenzarea populatiei si locuintelor se desfasoara etapizat in perioada februarie iulie doua mii douazeci si doi art patruzeci si noua alin pana la data de treizeci si unu decembrie doua mii douazeci si doi ar putea avea ca efect demararea de catre comisie a procedurii de constatare a neindeplinirii obligatiilor infringement stabilite romaniei prin regulamentele comunitare totusi in nota de fundamentare a proiectului de act normativ impactul financiar asupra bugetului general consolidat atat pe termen scurt pentru anul curent dar si pe termen lung pe urmatori cinci ani este zero astfel daca obligatia de a efectua recenzarea este obligatia statului roman va adresez rugamintea sa clarificati cum sa justifica punerea in sarcina angajatorilor din romania care la randul lor platesc contributii taxe si impozite pe venituri a costurilor privind autorecenzarea si a costurilor referitoare la acordarea unei zile libere angajatilor ca urmare a autorecenzarii totodata solicit sa mi comunicati in scris masurile si mijloacele prin care guvernul romaniei va solutiona aceasta problema pentru a veni in sprijinul angajatorilor afectati de aceasta masura in mod sustinut fara ca acestia sa fie nevoiti sa suporte cheltuielile izvorate din obligatiile statului roman fata de uniunea europeana a doua interpelare domnule presedinte este adresata domnului ministru tanczos barna stimate domnule ministru romania a fost importator net de energie electrica toata saptamana trecuta si toate prognozele sunt ca cel putin pe termen scurt si mediu pretul la energia electrica o sa creasca in acest context este esential ca proiectele de stimulare a producerii de energie electrica din surse regenerabile si care nu aduc atingere mediului inconjurator sa fie accelerate administratiei fondului pentru mediu ii revine o sarcina extrem de importanta si anume de a nu intarzia nepermis derularea programului de instalare a sistemelor fotovoltaice si stimularea instalarii lor de cat mai multe persoane pe de alta parte se pare ca exista intarzieri majore in derularea programului domnule ministru prin urmare as vrea sa va rog sa imi comunicati urmatoarele care este numarul la zi al dosarelor de la afm care inca asteapta sa fie solutionate in contextul in care exista intarzieri majore de procesare a dosarelor de catre afm pentru persoanele care doresc sa si instaleze panouri fotovoltaice considerati ca este necesar ca statul sa ramburseze proportional cu programul casa verde catre prosumatorii care au realizat investitia din resurse proprii va rog de asemenea sa mi comunicati daca exista proiecte legislative menite sa i protejeze pe prosumatori in relatia cu distribuitorii va solicit sa mi comunicati raspunsuri in scris va multumesc claudiu muresan senator circumscriptia nr treizeci si patru sibiu multumesc domnule presedinte ,"(588.24, 768.56)",588.24,768.56
8,Domnul Virgil Guran:,13991,Domnul Maricel Popa:,14076, si eu multumesc dau cuvantul domnului senator popa maricel ,"(768.56, 769.56)",768.56,769.56
9,Domnul Maricel Popa:,14076,Domnul Virgil Guran:,15800, buna ziua domnule presedinte buna ziua stimati colegi am o interpelare adresata domnului ministru al dezvoltarii lucrarilor publice si administratiei atilla cseke stadiu investitii stadioane si baze sportive din judetul iasi domnule ministru sportul a fost unul dintre domeniile neglijate in ultimii ani de factorii decidenti iar infrastructura din romania inca are de suferit chiar daca la nivel national au fost construite o serie de stadioane si baze sportive moderne iasiul nu a primit fondurile necesare pentru construirea unui stadion nou si a unei sali polivalente moderne dezvoltarea unei societati sanatoase se face in primul rand asigurand locuitorilor baze sportive adecvate unde sportul sa poata fi practicat in cele mai bune conditii administratiile locale din judetul iasi dar si alte autoritati iesene ,"(795.56, 818.56)",795.56,818.56
10,Domnul Virgil Guran:,15800,Domnul Maricel Popa:,15842, va rog ,"(718.56, 3289.56)",718.56,3289.56
