,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,ședinței Senatului din 20 iulie 2022,21, ,"(30.0, 1896.0)",30.0,1896.0
2,ședinței Senatului din 20 iulie 2022,21,sesiune extraordinară,63, ,"(30.0, 1896.0)",30.0,1896.0
3,sesiune extraordinară,63,S U M A R,90, ,"(30.0, 1896.0)",30.0,1896.0
4,S U M A R,90,S T E N O G R A M A,2013, unu aprobarea ordinii de zi si a programului de lucru doi doi informare cu privire la proiectele de lege privind aprobarea unor ordonante de patru urgenta ale guvernului proiectul de lege pentru aprobarea ordonantei de urgenta a guvernului nr o suta doisprezece doua mii douazeci si doi privind instituirea unor masuri pentru stimularea investitiilor cu finantare din fonduri externe nerambursabile in domeniul eficientei energetice resurselor regenerabile de energie pentru intreprinderi mari si intreprinderi mici si mijlocii energiei verzi din surse regenerabile destinate autoritatilor publice locale precum si unele masuri in domeniul specializarii inteligente precum si pentru modificarea si completarea unor acte normative din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(102.0, 153.0)",102.0,153.0
5,S T E N O G R A M A,2013,şedinţei Senatului din 20 iulie 2022,2034, ,"(30.0, 1896.0)",30.0,1896.0
6,şedinţei Senatului din 20 iulie 2022,2034,sesiune extraordinară,2076, ,"(30.0, 1896.0)",30.0,1896.0
7,sesiune extraordinară,2076,Domnul Virgil Guran:,2312, sedinta a inceput la ora paisprezece unu lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnul eugen pirvulescu si domnul sorin lavric secretari ai senatului ,"(30.0, 1896.0)",30.0,1896.0
8,Domnul Virgil Guran:,2312,Doamna Janina-Mirela Sitaru – secretar de stat la Ministerul Afacerilor Externe:,8841, doamnelor si domnilor senatori declar deschisa sedinta plenului senatului intrunit in sesiune extraordinara astazi douazeci iulie doua mii douazeci si doi sedinta este condusa de guran virgil vicepresedinte al senatului asistat de domnul senator eugen pirvulescu si domnul senator sorin lavric secretari ai senatului stimati colegi in temeiul dispozitiilor art saizeci si sase si art o suta cincisprezece alin raportul comun doriti sa luati cuvantul la raport sau la la dezbateri da raportul comun al comisiei pentru politica externa si comisiei pentru aparare ordine publica si siguranta nationala este de admitere a proiectului de lege proiectul de lege face parte din categoria legilor ordinare si se adopta cu votul majoritatii senatorilor prezenti minim treizeci si cinci de voturi senatul este camera decizionala incep dezbaterile avem si din partea guvernului daca doriti sa interveniti dar foarte scurt ,"(492.0, 520.0)",492.0,520.0
9,Doamna Janina-Mirela Sitaru – secretar de stat la Ministerul Afacerilor Externe:,8841,Domnul Virgil Guran:,11147, buna ziua janina sitaru secretar de stat multumesc domnule presedinte doamnelor si domnilor senatori asa cum bine stiti la cinci iulie doua mii douazeci si doi reprezentantii permanenti ai statelor membre nato au semnat protocoalele de aderare ale republicii finlanda si ale regatului suediei la tratatul atlanticului de nord avand la baza decizia celor doua state de a depune cererile de aderare pentru obtinerea statutului de membru confirma succesul nato ca organizatie de securitate dar si al politicii de extindere ale aliantei care a extins zona transatlantica de valori si securitate de a lungul timpului finlanda si suedia impartasesc cu statele membre nato principiile democratice si valorile fundamentale si participa la angajamentul deplin al aliantei fata de securitatea internationala prin pregatirea comuna cu aliatii si participarea la exercitiile armate armatele celor doua state au atins un inalt nivel de interoperabilitate aducand contributii importante la operatiunile nato pe aceste coordonate contributia celor doua state in calitate de state membre va determina consolidarea sistemului de aparare aliat inclusiv din perspectiva posturii nato pe flancul estic in contextul actual de securitate atat regional cat si international marcat de razboiul din ucraina continuarea procesului de extindere cu doua state pozitionate strategic si care dispun de armate dotate cu echipamente moderne interoperabile cu cele ale structurii de forte ale aliantei constituie o garantie suplimentara a mentinerii si consolidarii credibilitatii nato in raport cu provocarile externe in acest moment trebuie sa ne asiguram ca finlanda si suedia vor fi integrate in nato cat mai curand posibil abordare care este impartasita unanim la nivelul statelor aliate pana in prezent procesul de ratificare a fost finalizat in paisprezece din statele membre ratificarea rapida a aderarii de catre romania va transmite un semnal puternic prin sustinerea noastra practica pentru consolidarea aliantei a politicii sale de extindere si de sprijin pentru cele doua state aspirante va multumesc si va rog sa aprobati proiectul de lege privind ratificarea celor doua protocoale ,"(541.0, 659.0)",541.0,659.0
10,Domnul Virgil Guran:,11147,Domnul Titus Corlățean:,11303, multumesc si eu trecem la reprezentantii grupurilor parlamentare psd va rog domnul titus corlatean domnul senator ,"(669.0, 1896.0)",669.0,1896.0
