,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 26 aprilie 2022,21, ,"(600.0, 6577.0)"
2,şedinţei Senatului din 26 aprilie 2022,21,S U M A R,63, ,"(600.0, 6577.0)"
3,S U M A R,63,S T E N O G R A M A,19154, unu aprobarea ordinii de zi si a programului de lucru noua doi adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la saisprezece nouasprezece douazeci si unu si douazeci si doi aprilie doua mii douazeci si doi a unor initiative legislative trei dezbaterea proiectului de lege privind aprobarea ordonantei de urgenta a saptesprezece guvernului nr treizeci si unu doua mii douazeci si doi pentru modificarea si completarea ordonantei de urgenta a guvernului nr optsprezece doua mii noua privind cresterea performantei energetice a blocurilor de locuinte din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(2310.0, 2319.0)"
4,S T E N O G R A M A,19154,şedinţei Senatului din 26 aprilie 2022,19175, ,"(600.0, 6577.0)"
5,şedinţei Senatului din 26 aprilie 2022,19175,Domnul Florin-Vasile Cîțu:,19418, sedinta a inceput la ora cincisprezece opt lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnii eugen pirvulescu si sorin lavric secretai ai senatului ,"(600.0, 6577.0)"
6,Domnul Florin-Vasile Cîțu:,19418,Domnul Sebastian Cernic:,20305, buna ziua stimati colegi haideti sa incepem sedinta plenului senatului de astazi douazeci si sase aprilie doua mii douazeci si doi si va anunt ca din totalul de o suta treizeci si sase de senatori pana in acest moment si au inregistrat prezenta un numar de saptezeci si doi sedinta este condusa de subsemnatul presedintele senatului asistat de domnul senator eugen pirvulescu si domnul senator sorin lavric secretari ai senatului ordinea de zi pentru sedinta plenului de astazi a fost distribuita in primul rand dati mi voie sa va urez hristos a inviat tuturor si sper ca ati avut sarbatori pascale linistite si fericite mergem mai departe ordinea de zi pentru sedinta plenului de astazi a fost distribuita daca nu sunt comentarii va supun votului ordinea de zi va rog sa votati cincizeci si cinci de voturi pentru ordinea de zi a fost aprobata va rog domnule lider microfonul central va rog frumos ,"(1033.0, 1085.0)"
7,Domnul Sebastian Cernic:,20305,Domnul Florin-Vasile Cîțu:,20866, multumesc domnule presedinte cu ingaduinta dumneavoastra si a colegilor am dori sa suplimentam ordinea de zi si anume ca la sectiunea de vot am dori sa prindem l106 un proiect de lege pe care l am dezbatut saptamana trecuta cu care toate partidele din ce am inteles sunt de acord si ar fi pacat sa treaca tacit in forma initiala fara amendamentele adoptate in comisie asa ca va rog sa votati pentru suplimentarea ordinii de zi in asa fel incat sa votam aceasta lege la sfarsitul sesiunii multumesc mult ,"(1088.0, 1126.0)"
8,Domnul Florin-Vasile Cîțu:,20866,Domnul Cosmin-Marian Poteraș:,21497, multumesc haideti liderii de grup veniti putin pentru ca ordinea de zi a fost deja discutata la comitetul liderilor si s a discutat sa fie doar ordinea va rog frumos liderii sa veniti putin multumesc ordinea de zi a fost stabilita la comitetul liderilor ramane cum a fost stabilita la comitetul liderilor mergem mai departe programul de lucru pentru aceasta zi lucrari in plenul senatului as spune dezbaterea initiativelor legislative de pe ordinea de zi pana la votul final vom parcurge astazi toata ordinea de zi pe procedura va rog ,"(1126.0, 1255.0)"
9,Domnul Cosmin-Marian Poteraș:,21497,Domnul Florin-Vasile Cîțu:,21728, multumesc domnule presedinte am sa va rog sa supuneti totusi la vot solicitarea liderului de grup si sa vedem rezultatul votului o solicitare facuta pe procedura trebuie respectata multumesc ,"(1321.0, 1339.0)"
10,Domnul Florin-Vasile Cîțu:,21728,Domnul Sebastian Cernic:,22591, bine supun la vot suplimentarea ordinii de zi la solicitarea liderului grupului usr va rog sa votati cu douazeci si sapte de voturi pentru treizeci si sase impotriva si doisprezece abtineri solicitarea nu a trecut va multumesc mergem mai departe revenim la lucrarile plenului senatului pana la epuizarea ordinii de zi daca sunt interventii in legatura cu acest program daca nu sunt interventii supun votului programul de lucru prezentat va rog sa votati cu cincizeci si sapte de voturi pentru si o abtinere programul de lucru a fost votat vreti sa interveniti pe procedura ,"(1339.0, 1391.0)"
11,Domnul Sebastian Cernic:,22591,Domnul Florin-Vasile Cîțu:,22790, pe procedura va rog sa nu aplicam dubla masura si daca nu avem cvorum si s a constatat asta la ultimul vot va rog sa luati act ca nu avem cvorum multumesc mult ,"(1321.0, 5871.0)"
12,Domnul Florin-Vasile Cîțu:,22790,Domnul Eugen Pîrvulescu:,23220, deci vreti sa propuneti verificarea cvorumului sau este doar un vot deci propuneti verificarea cvorumului da stimati colegi va rog sa va introduceti cartelele si sa verificam ,"(1325.0, 6399.0)"
13,Domnul Eugen Pîrvulescu:,23220,Domnul Florin-Vasile Cîțu:,23351, eu cred ca am avut destul timp sa ne odihnim acasa acum intram si a doua zi si a treia zi de paste ,"(600.0, 6577.0)"
14,Domnul Florin-Vasile Cîțu:,23351,Domnul Eugen Pîrvulescu:,23444, domnule secretar va rog frumos haideti sa verificam cvorumul ,"(1325.0, 2466.0)"
15,Domnul Eugen Pîrvulescu:,23444,Domnul Florin-Vasile Cîțu:,28570, colegii de la usr nu vreti sa munciti astazi absent cum sa va trec absent nu va vad asa e la usr cred ca asa o sa fie si procentele sa stiti in doua mii douazeci si patru iovanovici sosoaca prezenta doamna sosoaca si doamna muntean lucica dina prezenta revenim vestea mihail vicol costel absent vlad sergiu cosmin absent vlasin sorin prezent voiculescu absent zamfir absent zob alexandru robert absent imediat revenim cu rezultatul ,"(2097.0, 2109.0)"
16,Domnul Florin-Vasile Cîțu:,28570,Domnul Eugen Pîrvulescu (de la prezidiu):,28679, avem cvorum sunt saptezeci si patru de senatori prezenti deci mergem mai departe ,"(2242.0, 2251.0)"
