,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,2,şedinţei Senatului din 6 aprilie 2022,23, ,"(420.0, 8086.0)"
2,şedinţei Senatului din 6 aprilie 2022,23,S U M A R,68, ,"(420.0, 8086.0)"
3,S U M A R,68,S T E N O G R A M A,195, unu intrebari si interpelari doi doi declaratii politice optsprezece ,"(420.0, 8086.0)"
4,S T E N O G R A M A,195,şedinţei Senatului din 6 aprilie 2022,216, ,"(420.0, 8086.0)"
5,şedinţei Senatului din 6 aprilie 2022,216,Domnul Virgil Guran:,461, sedinta a inceput la ora noua patruzeci si sapte lucrarile sedintei au fost conduse de domnul virgil guran vicepresedinte al senatului asistat de domnul ion mocioalca si domnul sorin lavric secretari ai senatului ,"(420.0, 8086.0)"
6,Domnul Virgil Guran:,461,Doamna Laura Georgescu:,1007, buna dimineata stimati colegi declar deschisa sesiunea de intrebari interpelari de astazi sase aprilie doua mii douazeci si doi conducerea fiind asigurata de subsemnatul senator virgil guran vicepresedinte al senatului asistat de domnul senator ion mocioalca si domnul senator sorin lavric secretari ai senatului conform programului aprobat timpul alocat pentru sesiunea de intrebari interpelari este de saizeci de minute repartizat pe grupurile parlamentare potrivit ponderii acestora invit la microfon pe doamna georgescu laura ,"(1050.0, 1050.0)"
7,Doamna Laura Georgescu:,1007,Domnul Virgil Guran:,3582, va multumesc domnule presedinte intrebare adresata domnului sorin cimpeanu ministrul educatiei obiectul acestei intrebari noua structura a anului scolar stimate domnule ministru la inceputul saptamanii trecute ati declarat ca s a ajuns la un consens care este confirmat nu numai de catre expertii in stiintele educatiei din romania ci de catre orice expert care are un minimum de cunostinte de pedagogie moderna am citat din declaratia dumneavoastra privind noua structura a anului scolar data in urma discutiilor cu reprezentantii elevilor parintilor si profesorilor discutii care au vizat impartirea pe module de invatare de sase sapte sau opt saptamani cu module de repaus prin urmare nu vor mai exista semestre acestea vor fi inlocuite cu cinci module de invatare care vor fi alternate cu vacante iar tezele vor fi inlocuite cu evaluari standardizate o alta noutate pentru viitorul an scolar este o vacanta mobila de o saptamana care va putea fi luata in una din saptamanile din luna februarie conform ordinului de ministru publicat in cursul zilei de luni anul scolar doua mii douazeci si doi doua mii douazeci si trei va incepe pe data de cinci septembrie cu primul modul de invatare iar o prima vacanta va fi luata pe data de douazeci si doi octombrie de toti elevii modulul al doilea de invatare se va desfasura pana in preajma sarbatorilor de iarna dupa care va fi cea de a doua vacanta in perioada douazeci si trei decembrie doua mii douazeci si doi opt ianuarie doua mii douazeci si trei astfel modulul trei va incepe pe noua ianuarie modulul patru se va incheia in preajma sarbatorilor pascale cu o vacanta planificata pentru perioada sapte optsprezece aprilie doua mii douazeci si trei dupa aceasta vacanta urmeaza modulul cinci si ultimul care se deruleaza pana in data de saisprezece iunie cea de a cinci a vacanta este si cea mai mare care ar urma sa inceapa pe saptesprezece iunie pana in prima data de luni din prima saptamana a lunii septembrie in ceea ce priveste tezele semestriale este posibil a se renunta la ele si a se introduce doua evaluari pe parcurs la inceputul si la finalul anului scolar tinand cont de aceste aspecte va rugam sa ne precizati cand sunt programate discutiile cu partenerii de dialog social privind noile modalitati de evaluare si cand va fi revizuit regulamentul cadru de organizare si functionare a unitatilor de invatamant preuniversitar cum intentionati sa structurati evaluarea continua a elevilor considerati ca aceste modificari vor conduce la performanta va multumesc solicit raspuns scris cu deosebit respect laura georgescu senator psd de galati va multumesc ,"(1892.0, 8086.0)"
8,Domnul Virgil Guran:,3582,Domnul Claudiu-Marinel Mureșan:,3685, va multumesc il invit la microfon pe domnul senator muresan claudiu marinel ,"(420.0, 8086.0)"
9,Domnul Claudiu-Marinel Mureșan:,3685,Domnul Virgil Guran:,8425, va multumesc frumos domnule presedinte doamnelor si domnilor senatori interpelarea este adresata ministrului sanatatii domnul alexandru rafila tema fiind dotarile din sectiile ati de neonatologie din spitalele din romania domnule ministru am vizitat de curand sectia de neonatologie din cadrul spitalului judetean sibiu si spitalul marie curie din capitala si am vazut cum medicii fac realmente minuni incercand sa rezolve probleme grave cu o infrastructura care le asigura doar jumatate din capacitatea necesara imi doresc ca prin prezenta interpelare sa va transmit ingrijorarea medicilor neonatologi si a noastra a tuturor cu privire la infrastructura din dotarea sectiilor de neonatologie din cauza numarului insuficient de paturi ati medicii sunt pusi in situatia de a refuza solicitari de internare venite si de la alte spitale din regiune asta inseamna practic domnule ministru sa refuzi dreptul la viata al unor persoane al unor fiinte umane criza paturilor ati este o realitate trista cu care ne confruntam la nivelul intregii tari in timp ce lista de asteptare a bebelusilor cu afectiuni grave creste pe zi ce trece aceste liste negre de asteptare exista mereu si asta face ca de prea multe ori cei aflati pe aceste liste sa piarda lupta cu viata inceputa atat de devreme realitatea ne arata ca anual zeci de copii care incep o lupta prematura cu viata se sting pentru ca pur si simplu nu gasesc un pat liber la ati sau pentru ca nu exista o ambulanta care sa asigure transportul si tratamentul de urgenta al mamei insarcinate sau copilului nou nascut cu probleme de sanatate cu titlul de exemplu domnule ministru in ultimii ani din trei sute saizeci si sapte de cereri de transfer venite de la spitalele din toata tara catre spitalul marie curie din capitala saizeci si doi de suflete s au stins domnule ministru din cauza ca au ajuns prea tarziu sau nu au mai ajuns deloc la ati in spitale aceste cazuri tragice din pacate fac parte din realitatea tuturor spitalelor pentru ca numarul total de paturi ati pentru copiii nou nascuti este de doar trei sute in timp ce nevoia este de sase sute in ceea ce priveste unitatile mobile de terapie intensiva neonatala de nivel iii din pacate romania sta foarte prost si la acest capitol transportul copiilor nou nascuti sau al femeilor gravide cu echipamente specifice este aproape inexistent in romania iar din datele pe care le detin avem doar doua astfel de ambulante doar ca exemplu spitalele din republica moldova au in dotare astfel de echipamente specifice inca din anul o mie noua sute saptezeci si opt este realmente obligatoriu sa dotam fiecare centru regional cu astfel de unitati care ar permite transportul in siguranta al pacientilor speciali avem instrumentul numit pnrr trebuie doar sa l punem in aplicare si sa contribuim in acest fel la extinderea capacitatii infrastructurii spitalicesti acum putem sa dotam spitalele cu o suta douazeci de paturi aditionale inclusiv infrastructura si echipamente aferente sa dotam cu echipamente medicale adecvate alte nouazeci de paturi existente si sa imbunatatim programul de screening domnule ministru renumitul medic neonatolog roman doctorul catalin carstoveanu un om care si a dedicat intreaga cariera acestor suflete a spus in felul urmator copiii au prea multe nevoi si prea putini oameni care sa lupte pentru ele haideti domnule ministru sa l contrazicem si sa schimbam aceste statistici infioratoare ale mortalitatii in randul nou nascutilor din romania acum avem o sansa mare de a creste numarul celor care pot fi salvati prin programul national de redresare si rezilienta in care sunt alocate peste optzeci de milioane de euro pentru investitii in infrastructura destinata pacientului critic neonatal sa stiti domnule ministru ca romanii nu au sa ne ierte daca ratam aceste tinte au fost identificate saizeci si noua de spitale si institute care ar beneficia de aceasta masura ganditi va doar cate suflete ar putea fi salvate trag acest semnal de alarma motivat fiind de numeroasele semnale venite din partea personalului medical care se confrunta cu lipsa conditiilor corespunzatoare in indeplinirea obligatiilor medicale pentru a asigura monitorizarea starii de sanatate a nou nascutilor si interventiile medicale necesare mentinerii lor in consecinta domnule ministru va solicit sa mi transmiteti in scris care este stadiul de implementare si de indeplinire a conditiilor asumate in vederea atragerii finantarilor prin programul national de redresare si rezilienta mai sus mentionate va multumesc claudiu muresan senator de sibiu circumscriptia nr treizeci si patru multumesc frumos domnule presedinte ,"(1892.0, 1892.0)"
10,Domnul Virgil Guran:,8425,Domnul Eugen-Remus Negoi:,8519, si eu multumesc il invit la microfon pe domnul senator negoi remus ,"(420.0, 8086.0)"
