,start_text,start_index,end_text,end_index,text,timestamp,start,end
1,S T E N O G R A M A,0,şedinţei Senatului din 30 mai 2022,21, ,"(0.0, 6255.96)",0.0,6255.96
2,şedinţei Senatului din 30 mai 2022,21,S U M A R,61, ,"(0.0, 6255.96)",0.0,6255.96
3,S U M A R,61,S T E N O G R A M A,5076, unu aprobarea ordinii de zi si a programului de lucru patru cinci saisprezece doi mesaj cu prilejul zilei de unu iunie ziua copilului cinci trei alocutiune cu ocazia zilei nationale a supravietuitorilor de cancer opt patru adoptarea tacita prin implinirea termenului pentru dezbatere si adoptare la douazeci si cinci si doisprezece douazeci si sase mai doua mii douazeci si doi a unor initiative legislative cinci aprobarea transmiterii catre camera deputatilor ca prima camera sesizata a doisprezece unor initiative legislative sase numirea unor membri ai consiliului national de integritate treisprezece sapte propunerea legislativa privind aprobarea procedurii de pregatire pentru reutilizare saisprezece a deseurilor de echipamente electrice si electronice a cerintelor tehnice privind pregatirea pentru reutilizare si a cerintelor de raportare si monitorizare a echipamentelor electrice si electronice reutilizate din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1474.96, 1488.96)",1474.96,1488.96
4,S T E N O G R A M A,5076,şedinţei Senatului din 30 mai 2022,5097, ,"(0.0, 6255.96)",0.0,6255.96
5,şedinţei Senatului din 30 mai 2022,5097,Domnul Florin-Vasile Cîțu:,5351, sedinta a inceput la ora cincisprezece zece lucrarile sedintei au fost conduse de domnul florin vasile citu presedintele senatului asistat de domnul eugen pirvulescu si domnul ion narcis mircescu secretari ai senatului ,"(0.0, 6255.96)",0.0,6255.96
6,Domnul Florin-Vasile Cîțu:,5351,Doamna Diana Iovanovici-Șoșoacă:,5966, buna ziua stimati colegi va rog sa luati loc sa incepem sedinta doamnelor si domnilor senatori declar deschisa sedinta plenului senatului de astazi treizeci mai doua mii douazeci si doi va anunt ca din totalul de o suta treizeci si cinci de senatori pana in acest moment si au inregistrat prezenta la lucrari un numar de saptezeci si cinci de senatori sedinta este condusa de subsemnatul presedinte al senatului asistat de domnul senator eugen pirvulescu si domnul senator ion narcis mircescu secretari ai senatului inainte de a incepe sedinta avem o interventie a doamnei senator sosoaca va rog frumos microfonul central ,"(16.0, 26.0)",16.0,26.0
7,Doamna Diana Iovanovici-Șoșoacă:,5966,Domnul Florin-Vasile Cîțu:,6267, buna ziua va multumesc frumos pentru ca mi ati acordat cuvantul am un anunt politic de facut in ceea ce ma priveste de astazi va anunt ca sunt membra a partidului s o s romania va multumesc foarte mult dumnezeu sa binecuvanteze romania si poporul roman ,"(46.4, 65.2)",46.4,65.2
8,Domnul Florin-Vasile Cîțu:,6267,Maria – reprezentant al Boardului Copiilor din România susținut de UNICEF:,7416, va multumesc doamna senator ,"(3026.96, 3041.96)",3026.96,3041.96
9,Maria – reprezentant al Boardului Copiilor din România susținut de UNICEF:,7416,Domnul Florin-Vasile Cîțu:,11497, domnule presedinte al senatului doamnelor si domnilor senatori stimata audienta ma simt onorata sa fiu astazi aici ca reprezentant al boardului copiilor sustinut de unicef romania si al tuturor copiilor din tara am remarcat numeroase initiative care au fost adoptate de parlament in romania in ultimii ani si ma declar incantata sa observ ca lucrurile la noi in tara se schimba incetul cu incetul am norocul de a ma afla astazi aici datorita parintilor si profesorilor mei care mi au oferit sansa de a primi o educatie adecvata si care m au ajutat sa ma dezvolt totusi in romania secolului xxi unul din cinci copii nu termina opt clase si aproape unul din doi adolescenti de cincisprezece ani este analfabet functional adica are dificultati in a intelege un text oare nu merita toti copii din romania sa beneficieze de sansa de a si atinge adevaratul potential educatia nu tine de noroc educatia este un drept este o normalitate de la care nu se admit exceptii va rog sa va ganditi la cauzele problemelor pe care le avem de rezolvat inainte de a cauta solutii ce avem de fapt de rezolvat ganditi va la copiii care nu au familie la cei care nu reusesc sa ajunga la scoala la cei care nu au caldura in scoala lor la cei nu isi permit sa si cumpere nici macar caiete trebuie sa constientizam problemele sa incercam sa ne dam seama care sunt ele cu adevarat si de unde provin educatia nu e doar despre noi copiii ci despre romania noi toti copiii ne dorim sa invatam noi copiii din romania ne dorim stabilitate ne dorim o schimbare nu doar de dragul unei schimbari ne dorim o lege a educatiei stabila si sustenabila atunci cand legiferati ganditi va pe termen lung ganditi va la noi toti ma regasesc in cuvintele academicianului solomon marcus nu este o anomalie faptul ca cele mai frumoase carti de matematica fizica chimie biologie nu sunt cele scolare ci cele extrascolare este oare normal intelept ca actul didactic sa ramana mereu asociat cu plictisul cazna si uratul visez ca ceea ce li se cere elevilor sa nu fie reproducerea unor date ci construirea unui discurs propriu pe o tema inedita stim ca o parte dintre dumneavoastra sunt profesori si va rugam sa ne incurajati in eforturile noastre sa ne simtim cu totii ascultati si intelesi va rugam sa ne incurajati sa gandim ne dorim sa intelegem o informatie si nu doar sa o memoram gandesc deci exist ne dorim sa gandim ca sa putem fi sa fim oameni sa avem un rationament ne dorim aceeasi informatie stiuta de milioane de ori pe de rost sau ne dorim milioane de gandiri cu un ideal comun o tara educata este o tara puternica si echilibrata daca exista copii in romania care nu isi doresc sa fie educati eu nu i am cunoscut inca desi am stat de vorba cu multi dintre cei care nu merg la scoala cu totii ne dorim sa mergem la scoala dar mai ales sa fim noi insine si sa gandim critic oare ne dorim romania superficialitatii sau una a dezvoltarii si initiativei initiativa se naste acolo unde are loc intr o societate in care educatia este pe primul plan in care masurile luate sunt statornice iar intelegerea precede memorarea pentru asta avem nevoie de o lege a educatiei actualizata care sa fie implementata la fel indiferent de majoritatea din parlament sau guvern avem nevoie de materii adaptate la contextul secolului xxi care sa asigure acelasi nivel de educatie si intr o comunitate izolata si in centrul capitalei avem nevoie de investitii in educatie ca acele sute de mii de copii sa mearga la scoala sa invete sa isi finalizeze studiile si sa isi atinga potentialul stim ca dezvoltati legi bune asigurati va ca nu sunt modificate cu fiecare ocazie si ca sunt aplicate uniform in resedintele de judet si in cele mai sarace comunitati toti copii au dreptul la educatie ajutati ne sa fim ajutati ne sa ne dezvoltam sa speram sa analizam sa gandim ajutati ne sa actionam va multumesc ,"(196.96, 355.96)",196.96,355.96
10,Domnul Florin-Vasile Cîțu:,11497,Tudor – reprezentant al Boardului Copiilor din România susținut de UNICEF:,11638, multumim maria il rog acum pe tudor sa vina la microfonul central sa si spuna mesajul sau de ziua copilului ,"(188.96, 4931.96)",188.96,4931.96
