,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 24 octombrie 2022,21, ,"(30.0, 8090.16)"
2,şedinţei Senatului din 24 octombrie 2022,21,S U M A R,65, ,"(30.0, 8090.16)"
3,S U M A R,65,S T E N O G R A M A,6285, unu propunerea legislativa pentru modificarea si completarea legii nr doua sute saptezeci si doi doua mii patru privind patru protectia si promovarea drepturilor copilului din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(30.0, 8090.16)"
4,S T E N O G R A M A,6285,şedinţei Senatului din 24 octombrie 2022,6306, ,"(30.0, 8090.16)"
5,şedinţei Senatului din 24 octombrie 2022,6306,Doamna Alina-Ștefania Gorghiu:,6583, sedinta a inceput la ora cincisprezece cincisprezece lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnul ion mocioalca si domnul ion narcis mircescu secretari ai senatului ,"(30.0, 8090.16)"
6,Doamna Alina-Ștefania Gorghiu:,6583,Domnul Florian-Dorel Bodog:,8779, doamnelor si domnilor declar deschisa sedinta plenului de astazi douazeci si patru octombrie sedinta este condusa de mine impreuna cu colegii mei secretari de sedinta domnii ion mocioalca si ion narcis mircescu le multumesc pentru ajutorul dat astazi ordinea de zi pentru sedinta plenului si programul de lucru sunt stabilite de biroul permanent si comitetul liderilor au fost distribuite si afisate pe pagina de internet a senatului in conformitate cu dispozitiile art o suta treizeci si sapte coroborat cu prevederile art o suta treizeci si sase din regulamentul senatului in conformitate cu hotararile biroului permanent al senatului adoptate cu acordul prealabil al comitetului liderilor sedinta plenului se desfasoara prin mijloace electronice in conformitate cu procedura prevazuta la art o suta unsprezece din regulamentul senatului in cadrul dezbaterilor generale se poate lua cuvantul de cate un reprezentant al fiecarui grup parlamentar pentru maximum doua minute si cate un reprezentant al fiecarui al grupului de neafiliati care poate interveni maximum un minut pentru operativitate stiti ca in prima parte vom desfasura dezbaterile asupra punctelor inscrise pe ordinea de zi dupa inchiderea lor in a doua parte sedinta de vot final conform hotararii comitetului liderilor dati mi voie sa anunt prezenta in sala a unor reprezentanti ai asociatiei friends din oradea la invitatia domnului senator hatos va urez o sedinta placuta sper sa fie una fara scantei de asemenea la balcoane din partea domnilor senatori rotaru si maties sunt cadre didactice din braila si alba o sa va rog sa i felicitam pe toti pentru prezenta la lucrarile plenului de astazi va multumim pentru vizita dati mi voie sa va fac si un anunt stimati colegi saptamana viitoare miercuri saptamana viitoare da miercuri este program de circumscriptie iar tot saptamana viitoare luni este ultima zi de procedura hibrid pe plen marti va fi ultima zi de procedura hibrid pe comisii asta este un anunt ca sa va puteti pregati grupurile ca sa stie cum se vor desfasura lucrarile ulterior pe ordinea de zi domnul senator bodog vrea sa ia cuvantul ,"(1678.0, 1821.0)"
7,Domnul Florian-Dorel Bodog:,8779,Doamna Alina-Ștefania Gorghiu:,8980, multumesc doamna presedinta din partea grupului psd am sa va rog sa supuneti la vot aprobarea retrimiterii la comisie a punctului zece cu termen miercuri multumesc ,"(1827.0, 1837.0)"
8,Doamna Alina-Ștefania Gorghiu:,8980,Domnul Cristian Ghica:,9989, multumesc pe procedura pe ordinea de zi mai exista interventii din partea colegilor daca nu exista o sa va rog sa va pregatiti cartelele pentru a supune votului dumneavoastra retrimiterea la comisie a punctului zece si ca sa nu gresim vorbim de propunerea legislativa pentru modificarea si completarea legii nr doua sute saptezeci si doi doua mii patru privind protectia si promovarea drepturilor copilului domnule bodog da bun stimati colegi sunteti gata va fac precizarea ca punctul zece are termen de adoptare tacita douazeci si noua luna aceasta douazeci si noua octombrie deci termenul pe care l a propus domnul presedinte bodog este in regula pentru miercuri supun votului dumneavoastra solicitarea de retrimitere pana miercuri la comisie a punctului zece de pe ordinea de zi va rog vot saizeci de voturi pentru impotriva trei douazeci si cinci de abtineri solicitarea de retrimitere la comisie a fost aprobata termen miercuri va multumesc domnul ghica are un anunt de facut va rog microfonul doi ,"(1837.0, 1895.0)"
9,Domnul Cristian Ghica:,9989,Doamna Alina-Ștefania Gorghiu:,10153, multumesc doamna presedinte pentru ca nu am cartela la mine va rog sa luati in considerare votul meu pentru multumesc ,"(1837.0, 6923.16)"
10,Doamna Alina-Ștefania Gorghiu:,10153,Domnul Sorin Lavric:,13705, multumesc frumos si pe toata sedinta vom opera votul dumneavoastra cu mana da in regula la ordinea de zi nemaifiind alte voturi de dat voi trece la sectiunea i a ordinii de zi punctul unu avem aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a unei initiative legislative conform art nouazeci si trei alin raportul comisiei pentru sanatate e de admitere a proiectului privind aprobarea ordonantei proiectul face parte din categoria legilor ordinare senatul este prima camera sesizata la dezbateri generale avem inscrieri la cuvant domnule senator lavric aveti cuvantul va rog ,"(30.0, 206.0)"
