,start_text,start_index,end_text,end_index,text,timestamp
1,S T E N O G R A M A,0,şedinţei Senatului din 21 martie 2022,21, ,"(150.0, 6018.0)"
2,şedinţei Senatului din 21 martie 2022,21,S U M A R,62, ,"(150.0, 6018.0)"
3,S U M A R,62,S T E N O G R A M A,4220, unu aprobarea unei modificari in componenta nominala a comisiilor permanente ale trei senatului patru cinci doi aprobarea prelungirii la saizeci de zile a termenului de dezbatere si adoptare a trei patru propunerii legislative pentru modificarea si completarea ordonantei de urgenta a cinci guvernului nr o suta nouazeci si cinci din douazeci si doi decembrie doua mii cinci privind protectia mediului din legea nr patruzeci si sapte o mie noua sute nouazeci si doi privind organizarea si functionarea curtii constitutionale republicata ,"(1329.0, 5980.0)"
4,S T E N O G R A M A,4220,şedinţei Senatului din 21 martie 2022,4241, ,"(150.0, 6018.0)"
5,şedinţei Senatului din 21 martie 2022,4241,Doamna Alina-Ștefania Gorghiu:,4518, sedinta a inceput la ora cincisprezece doi lucrarile sedintei au fost conduse de doamna alina stefania gorghiu vicepresedinte al senatului asistata de domnul eugen pirvulescu si domnul ion narcis mircescu secretari ai senatului ,"(150.0, 6018.0)"
6,Doamna Alina-Ștefania Gorghiu:,4518,Domnul Sebastian Cernic:,5214, doamnelor si domnilor senatori va rog sa mi permiteti mi sa declar deschisa sedinta plenului de astazi douazeci si unu martie doua mii douazeci si doi va anuntam ca din totalul de o suta treizeci si sase de senatori pana in acest moment si au inregistrat prezenta la lucrari un numar de saptezeci si doi sedinta este condusa de mine in calitate de vicepresedinte al senatului asistata de domnul senator ion narcis mircescu si de domnul senator eugen pirvulescu in calitate de secretari ai senatului ordinea de zi pentru sedinta plenului de astazi a fost distribuita daca nu sunt comentarii va supun votului ordinea de zi daca aveti comentarii pe procedura va rog domnule senator e in regula ,"(930.0, 971.0)"
7,Domnul Sebastian Cernic:,5214,Doamna Alina-Ștefania Gorghiu:,5753, multumesc mult doamna presedinte stimati colegi doresc sa va anunt ca incepand de astazi doamna senator anca dragu va activa si in comisia de buget finante doi cerem prelungirea termenului la l47 cu doua saptamani avand in vedere ca ministerul nu a trimis punctul de vedere in dreptul amendamentelor depuse la comisie asta pentru a evita trecerea tacita in forma actuala si cerem retrimiterea la comisie si prelungirea termenului cu saizeci de zile la l50 multumesc mult doamna presedinte ,"(976.0, 1008.0)"
8,Doamna Alina-Ștefania Gorghiu:,5753,Domnul Sebastian Cernic:,5886, stiti ce va rog indicati ne pozitia de pe ordinea de zi ca sa ne fie si noua mai usor ,"(1010.0, 1010.0)"
9,Domnul Sebastian Cernic:,5886,Domnul Ion-Narcis Mircescu (de la prezidiu):,5936, doi si patru da ,"(1061.0, 5935.0)"
10,Domnul Ion-Narcis Mircescu (de la prezidiu):,5936,Domnul Sebastian Cernic:,5995, l50 si l47 ,"(150.0, 6018.0)"
11,Domnul Sebastian Cernic:,5995,Doamna Alina-Ștefania Gorghiu:,6145, da multumesc doamna presedinte ne referim la punctul doi de pe ordinea de zi si punctul patru multumesc mult ,"(3335.0, 4859.0)"
